courier	x	y	on_time	off_time
c1	21137	6460	0	240
c2	27240	4079	0	240
c3	29914	14627	0	180
c4	29170	19436	0	180
c5	29036	12373	0	180
c6	23704	3077	0	240
c7	29879	20012	0	180
c8	28677	6380	0	240
c9	22532	5748	0	240
c10	22564	24089	0	180
c11	21356	2090	0	240
c12	22694	19687	0	180
c13	19979	19431	60	155
c14	23175	9604	60	240
c15	26398	15687	60	240
c16	23954	14853	60	240
c17	21593	10995	60	240
c18	24543	16672	60	240
c19	25259	19492	60	240
c20	30868	15899	60	240
c21	21912	20574	60	240
c22	31442	16323	60	240
c23	25438	13317	60	240
c24	23383	17450	60	240
c25	26386	24602	60	240
c26	25001	15497	60	240
c27	25869	16218	60	240
c28	23052	17553	60	240
c29	30244	16607	60	240
c30	27239	14670	60	240
c31	28904	17406	60	240
c32	28565	12121	60	240
c33	25419	24196	60	240
c34	31561	12573	60	240
c35	22892	22848	60	240
c36	13604	35953	60	240
c37	29006	18811	60	261
c38	29120	23043	60	240
c39	31960	14557	60	240
c40	25692	22709	60	240
c41	19388	17174	60	240
c42	8740	35259	60	240
c43	23664	13238	135	300
c44	25119	18754	150	300
c45	22402	24046	150	300
c46	28601	23549	180	420
c47	21107	10206	180	420
c48	24793	18799	180	285
c49	25450	14554	180	420
c50	22971	20136	180	420
c51	27606	22750	180	420
c52	28416	11815	180	420
c53	26060	14424	180	420
c54	29384	23052	180	420
c55	24440	10973	180	430
c56	26564	25119	180	420
c57	19705	23856	180	375
c58	32019	12140	180	420
c59	24875	14747	210	330
c60	21785	22206	225	420
c61	22151	22252	225	420
c62	25776	13341	240	420
c63	28558	9010	240	420
c64	29424	5164	240	420
c65	22567	17763	240	420
c66	32503	7476	240	420
c67	22015	22887	240	420
c68	29245	17434	240	420
c69	17656	32548	240	420
c70	31095	14925	240	420
c71	21223	10144	240	420
c72	31105	14752	240	420
c73	30174	21095	240	420
c74	24117	16026	240	420
c75	29268	23798	240	420
c76	17186	33881	240	420
c77	26317	18489	240	420
c78	24449	25246	240	420
c79	21599	20041	240	420
c80	27656	11125	240	420
c81	28101	16662	240	315
c82	22597	23133	240	420
c83	23547	21366	240	420
c84	25346	12489	240	420
c85	22911	9898	240	420
c86	22813	17917	240	420
c87	24197	17998	240	432
c88	24859	15262	240	420
c89	25207	16742	300	420
c90	25133	15331	360	600
c91	30135	19684	360	600
c92	29478	19989	360	600
c93	21668	10068	360	600
c94	24591	23275	360	660
c95	22370	25310	360	600
c96	20019	9087	360	600
c97	20141	18810	360	600
c98	26472	23450	360	600
c99	20226	13320	360	600
c100	26802	25476	360	600
c101	20608	9654	360	600
c102	19948	18070	360	555
c103	28656	17855	360	600
c104	23371	12146	360	600
c105	22094	20655	360	420
c106	25202	24379	360	600
c107	24970	18631	420	660
c108	26737	10744	420	660
c109	26624	18348	420	675
c110	25541	24210	420	660
c111	5400	32762	420	660
c112	27877	25058	420	570
c113	29869	19461	420	660
c114	21237	14742	420	660
c115	25514	15119	420	720
c116	21177	17432	420	585
c117	25818	18189	420	660
c118	10674	25998	420	660
c119	24108	15200	420	660
c120	25447	15209	420	585
c121	22627	12850	420	660
c122	28136	17287	420	660
c123	26694	13229	420	660
c124	20675	16618	420	660
c125	32116	6702	420	660
c126	20258	19061	420	660
c127	24066	22099	420	660
c128	32030	5355	420	660
c129	24973	20175	420	660
c130	25171	25279	420	600
c131	28101	8879	420	660
c132	29987	20457	420	480
c133	26689	13918	420	720
c134	21368	16496	420	660
c135	22427	11520	420	720
c136	16139	26773	420	660
c137	24634	23206	420	660
c138	26012	7840	420	660
c139	26780	18010	420	660
c140	22286	3569	420	660
c141	22040	13704	420	660
c142	21700	17227	420	660
c143	24194	19733	420	705
c144	23464	12136	420	660
c145	27037	10785	420	660
c146	24779	14172	420	720
c147	26863	23594	420	660
c148	30126	12530	420	660
c149	29561	22521	420	660
c150	24058	4433	420	660
c151	19838	19576	420	660
c152	25647	14945	420	660
c153	19751	12661	420	660
c154	25036	19120	420	720
c155	23544	19923	420	720
c156	19957	19914	420	660
c157	28133	18755	420	660
c158	19435	23648	420	660
c159	27639	24433	420	660
c160	27044	12884	420	660
c161	22703	13291	420	660
c162	23468	12896	420	727
c163	26212	18124	420	660
c164	27657	11851	420	660
c165	23389	24255	420	720
c166	20257	13772	420	720
c167	20122	21329	420	660
c168	21154	11333	420	660
c169	19958	19544	420	660
c170	25929	15507	420	720
c171	21531	9634	420	660
c172	3866	23457	420	660
c173	22718	17693	420	720
c174	24374	18864	420	660
c175	21801	9798	420	660
c176	30911	14994	420	720
c177	22617	22263	450	720
c178	20574	13496	480	720
c179	28777	15576	480	765
c180	21597	12669	480	720
c181	27161	10535	480	720
c182	21613	12029	480	660
c183	28758	18420	480	720
c184	27299	17842	480	540
c185	26057	10560	480	720
c186	24253	18170	480	720
c187	25443	12620	480	660
c188	21193	21281	480	720
c189	20857	22000	480	780
c190	25772	20291	480	720
c191	26757	25577	480	720
c192	21333	18417	480	720
c193	24766	20896	480	720
c194	20002	24251	480	720
c195	21561	20766	480	720
c196	25182	5544	540	660
c197	27156	15944	585	660
c198	22817	23384	615	660
c199	26379	21336	630	720
c200	24740	13845	640	810
c201	26540	11364	660	810
c202	29932	19375	660	810
c203	10163	28603	660	810
c204	23382	9897	660	810
c205	23518	23168	660	810
c206	6109	30411	660	810
c207	23692	12103	660	750
c208	22658	18714	660	810
c209	33764	5777	660	810
c210	19676	22279	660	720
c211	24217	21002	660	810
c212	30026	7460	660	810
c213	30170	18768	660	810
c214	28352	13526	660	810
c215	23334	4795	660	830
c216	19912	19016	660	810
c217	26356	13036	660	810
c218	26962	19749	660	810
c219	21469	19637	660	810
c220	29865	12910	660	720
c221	23754	15885	660	810
c222	23326	23450	660	810
c223	19481	22417	660	810
c224	21098	22334	660	810
c225	31233	4936	660	780
c226	26646	23820	660	810
c227	29121	16154	660	810
c228	20933	17422	660	810
c229	23123	12101	660	810
c230	34429	3667	660	810
c231	21094	19701	660	720
c232	21184	21783	660	720
c233	22996	16065	660	810
c234	23483	16015	660	810
