order	x	y	placement_time	restaurant	ready_time
o1	18401	21319	583	r1	616
o2	14171	17323	306	r2	312
o3	16846	16840	539	r3	558
o4	17084	19342	537	r4	552
o5	17169	19714	540	r5	547
o6	19103	13873	142	r6	153
o7	19741	10708	566	r7	584
o8	20395	15978	544	r8	550
o9	11964	21492	630	r9	666
o10	17584	22944	461	r10	474
o11	15012	16943	510	r2	514
o12	16260	17585	627	r11	647
o13	17479	24746	487	r12	490
o14	18963	14919	80	r13	82
o15	19291	14812	106	r14	119
o16	19048	13690	301	r15	306
o17	19274	17888	189	r16	205
o18	16093	17164	175	r3	189
o19	14731	16164	644	r17	650
o20	16323	17694	679	r2	688
o21	14273	19099	756	r3	762
o22	15716	24139	471	r18	496
o23	12703	20868	367	r19	387
o24	17584	16303	310	r20	320
o25	22421	3744	248	r21	264
o26	12077	20559	199	r22	229
o27	14389	13682	648	r23	656
o28	16552	11958	752	r24	777
o29	16988	16583	471	r25	474
o30	18110	14560	619	r26	650
o31	10646	19535	569	r27	599
o32	19410	14777	442	r28	452
o33	18873	18387	629	r29	643
o34	16369	10584	453	r30	473
o35	21310	5271	571	r31	583
o36	17494	24238	504	r32	522
o37	19386	11742	512	r33	532
o38	19203	15712	630	r34	641
o39	12825	17220	604	r35	631
o40	15537	17203	622	r36	651
o41	17792	22792	291	r37	296
o42	16972	21478	658	r38	687
o43	15941	21941	515	r39	552
o44	22896	5221	197	r21	224
o45	17018	20261	547	r38	572
o46	18623	17895	493	r40	520
o47	16712	20788	604	r41	627
o48	17921	12178	527	r42	528
o49	14225	21037	138	r43	158
o50	17689	23534	502	r44	509
o51	19283	17329	140	r23	162
o52	12444	20077	727	r45	736
o53	18210	15323	134	r46	138
o54	16142	24729	426	r47	456
o55	17990	14497	742	r3	755
o56	19991	16044	566	r23	595
o57	17730	15555	626	r2	638
o58	15288	18639	523	r48	543
o59	15666	22342	702	r49	711
o60	19144	13508	498	r50	531
o61	19403	17438	479	r20	489
o62	19522	14704	478	r51	523
o63	15097	18313	579	r52	584
o64	18131	21895	595	r53	613
o65	15118	17501	519	r11	544
o66	18924	16794	464	r1	493
o67	17628	14155	520	r54	535
o68	19659	12908	568	r55	576
o69	18224	19364	631	r1	642
o70	16520	21775	572	r10	587
o71	15876	19880	207	r39	215
o72	17584	14662	579	r2	585
o73	15610	11738	579	r56	599
o74	18140	21025	236	r57	245
o75	16111	25730	548	r58	572
o76	15194	18538	524	r23	554
o77	17443	16231	625	r59	656
o78	19283	14945	476	r60	501
o79	17307	14543	581	r61	584
o80	14696	16475	229	r62	234
o81	18178	15209	75	r63	93
o82	12341	19136	623	r64	640
o83	17154	9005	176	r65	182
o84	19770	12520	584	r66	598
o85	15725	16269	723	r2	727
o86	16746	20076	568	r54	594
o87	11872	23375	298	r67	312
o88	17697	19650	583	r68	603
o89	13725	18627	598	r54	628
o90	18062	14739	265	r69	269
o91	15685	22585	632	r57	635
o92	21847	0	603	r70	642
o93	16858	12019	461	r71	479
o94	14731	16071	455	r2	458
o95	17750	23380	380	r72	396
o96	17765	22825	545	r73	549
o97	22206	6545	124	r21	138
o98	18910	15203	466	r74	467
o99	12098	18935	512	r57	516
o100	13791	20747	183	r49	192
o101	13488	16813	444	r75	464
o102	12508	20051	279	r9	308
o103	19497	14803	318	r55	321
o104	17387	20195	403	r38	426
o105	17088	25967	178	r32	189
o106	17585	14151	534	r27	552
o107	15842	23812	444	r10	459
o108	17956	20603	541	r76	557
o109	17768	19547	572	r77	592
o110	15312	19088	597	r78	620
o111	16012	19904	132	r57	134
o112	18226	21849	718	r41	743
o113	23090	5233	217	r31	226
o114	15709	17401	636	r79	637
o115	17004	15972	728	r80	741
o116	17227	22501	307	r81	310
o117	12824	18011	219	r14	232
o118	15729	24315	566	r81	572
o119	15715	24615	242	r82	249
o120	11258	24695	586	r83	591
o121	18137	21089	373	r38	394
o122	16135	17853	523	r84	560
o123	19430	13782	764	r23	778
o124	17173	22440	646	r85	661
o125	14510	14641	612	r14	630
o126	19325	14788	600	r20	624
o127	14136	19135	295	r14	316
o128	19121	14975	123	r86	145
o129	11667	17740	515	r27	543
o130	15751	22127	343	r87	354
o131	17490	14841	500	r88	510
o132	17817	22672	500	r89	505
o133	19600	15667	546	r90	556
o134	19590	5086	581	r21	615
o135	17134	23443	149	r23	167
