restaurant	x	y
r1	18510	14535
r2	18060	17012
r3	21213	18571
r4	23179	14248
r5	18567	20721
r6	20552	17321
r7	19598	10266
r8	17654	17017
r9	20906	13989
r10	18678	15290
r11	22772	13419
r12	21993	16267
r13	18791	17677
r14	21573	12903
r15	19733	18791
r16	21723	15052
r17	19119	21880
r18	20813	17917
r19	25824	3916
r20	22047	15547
r21	22731	14221
r22	17891	22062
r23	20866	13475
r24	21512	13768
r25	18650	15907
r26	19863	16839
r27	17897	11445
r28	15648	16788
r29	21501	17953
r30	19034	15742
r31	22068	14249
r32	22038	15412
r33	20131	14065
r34	17551	21526
r35	22030	12567
r36	22399	12618
r37	22443	15369
r38	19091	22659
r39	22898	12567
r40	20384	17306
r41	18581	15882
r42	17855	22104
r43	22434	14133
r44	15218	17548
r45	23516	13141
r46	21282	19024
r47	20992	16219
r48	18553	15955
r49	20427	16384
r50	22854	14058
r51	16095	16798
r52	17544	22174
r53	21947	17188
r54	17485	21829
r55	21586	11541
r56	19149	20371
r57	20613	19647
r58	22105	13619
r59	21181	19170
r60	21523	17946
r61	25238	2843
r62	17582	17313
r63	22428	13729
r64	19330	12789
r65	6112	27391
r66	19152	16796
r67	21232	18851
r68	22885	11196
r69	25741	3749
r70	20785	19299
r71	20635	7977
r72	16433	20168
r73	20844	16022
r74	14398	22607
r75	14828	17694
r76	21725	14413
r77	22889	11407
r78	21268	18341
r79	21550	12634
r80	20909	16054
r81	22742	14961
r82	22707	13505
r83	22813	14357
r84	19639	13840
r85	20331	20015
r86	18917	17867
r87	20884	13399
r88	11335	25814
r89	22059	14163
r90	22818	14923
r91	20455	13130
r92	23131	14125
r93	20961	10963
r94	17939	21846
r95	22524	14778
r96	20400	19800
r97	24771	3683
r98	18544	15658
r99	19619	20515
r100	22592	10599
r101	22355	13832
r102	20080	10200
r103	18431	15927
r104	22435	13897
r105	22995	14125
r106	20617	17870
r107	22358	13881
r108	20534	18713
r109	20868	16363
r110	16031	22195
r111	19672	19360
r112	20893	12658
r113	15393	35512
r114	15556	25550
r115	16635	17683
r116	15324	25795
r117	20926	19887
r118	20964	20440
