restaurant	x	y
r1	8536	9089
r2	7239	10123
r3	8510	8753
r4	11438	3787
r5	2916	8178
r6	10135	6385
r7	9405	10353
r8	4200	6353
r9	8842	8549
r10	6308	7040
r11	8501	6602
r12	7600	8390
r13	8436	6433
r14	8451	6375
r15	8835	8484
r16	9685	10063
r17	6590	10267
r18	9831	10158
r19	8326	6436
r20	8509	8219
r21	8460	5540
r22	7008	10233
r23	5549	8185
r24	10165	7117
r25	4557	6472
r26	9222	5013
r27	8548	8653
r28	8693	5001
r29	8936	7305
r30	9314	6041
r31	6012	8797
r32	6374	6979
r33	10142	6957
r34	10274	8939
r35	6741	10363
r36	9616	10182
r37	7406	5684
r38	9253	8875
r39	9631	10084
r40	6412	6888
r41	8514	5450
r42	9143	6345
r43	10022	2510
r44	8868	8719
r45	10069	9262
r46	10000	8412
r47	9318	10300
r48	8824	4985
r49	9804	7721
r50	8369	6005
r51	9686	9478
r52	9976	9392
r53	8955	8223
r54	8527	7482
r55	9153	8487
r56	9917	9722
r57	8763	7221
r58	8845	6632
r59	4613	8571
r60	9311	7075
r61	4865	7659
r62	3558	5301
r63	8551	4003
r64	7495	5859
r65	7781	10086
r66	6917	10336
r67	7754	7190
r68	4698	6308
r69	4394	6317
r70	9864	9904
r71	8318	9899
r72	8500	6278
r73	9782	8325
r74	8601	4193
r75	9474	5313
r76	7590	10113
r77	6273	8870
r78	7409	8721
r79	9893	8490
r80	9898	9811
r81	8418	5870
r82	4428	3703
r83	8431	6315
r84	9852	9852
r85	9311	5011
r86	6355	7038
r87	7624	8747
r88	4475	6085
r89	8044	10037
r90	2140	7512
r91	6753	8971
r92	8932	11159
r93	629	7381
r94	4724	8349
r95	8844	8641
r96	9946	9528
r97	9119	7721
r98	10267	6628
r99	7798	10082
r100	8520	9058
r101	10072	8575
r102	8761	5863
r103	10310	9260
r104	10073	9606
r105	10496	9715
r106	10159	6926
r107	9542	9788
r108	9574	8895
r109	2656	7940
r110	7612	7136
r111	10089	9066
r112	5015	8287
r113	3319	8053
r114	7324	5925
r115	9056	11257
r116	4773	8115
r117	8681	5504
r118	8697	8886
r119	7332	4891
r120	3534	6120
