restaurant	x	y
r1	8035	7936
r2	6926	4090
r3	9769	5667
r4	3921	5714
r5	162	6759
r6	8730	7744
r7	4077	7867
r8	9291	9325
r9	8016	5710
r10	2285	7483
r11	7839	5625
r12	10091	7905
r13	9282	7010
r14	3886	2795
r15	8254	7420
r16	10391	7537
r17	7972	5866
r18	4351	5613
r19	8037	7373
r20	3993	5468
r21	4217	7684
r22	4300	7053
r23	8578	5720
r24	8034	4265
r25	6807	5197
r26	10941	3131
r27	8780	4319
r28	9420	9080
r29	8991	4455
r30	4411	6967
r31	4121	7635
r32	8694	6187
r33	5355	8079
r34	9417	8763
r35	8312	7543
r36	7267	6501
r37	9034	4561
r38	9440	7674
r39	8121	3391
r40	2478	7564
r41	7285	5344
r42	6558	9452
r43	4533	7468
r44	8031	8269
r45	6874	5259
r46	6928	5398
r47	7605	5611
r48	4482	7399
r49	7861	9173
r50	6270	8170
r51	7999	5243
r52	6995	7794
r53	8141	8010
r54	9160	9388
