restaurant	x	y
r1	9649	4780
r2	6330	6357
r3	9493	8141
r4	2817	7690
r5	10204	6514
r6	9798	7164
r7	7536	5252
r8	6711	9548
r9	8861	10515
r10	7579	7710
r11	8657	8507
r12	7359	5226
r13	8773	8056
r14	9644	9527
r15	8890	6538
r16	8428	5660
r17	756	6730
r18	8535	5963
r19	3437	7498
r20	4569	5879
r21	9688	9429
r22	4744	5584
r23	9966	7946
r24	8401	5851
r25	10127	8973
r26	9720	9076
r27	8551	8535
r28	7435	7747
r29	8605	8905
r30	8765	5921
r31	9493	4671
r32	8634	8301
r33	8630	8634
r34	8976	6690
r35	9572	7993
r36	6329	6423
r37	8533	4881
r38	9161	7878
r39	4571	2934
r40	8649	4341
r41	4994	7028
r42	4103	5635
r43	4731	5578
r44	5112	7546
r45	9694	9580
r46	7877	9340
r47	9239	5476
r48	9126	8205
r49	8604	5699
r50	8681	7953
r51	9501	8508
r52	2169	6834
r53	9397	9661
r54	9390	6369
r55	7532	5263
r56	10120	6471
r57	7513	5537
r58	10075	9194
r59	7552	8053
r60	10118	6255
r61	5613	7455
r62	9871	9433
r63	8783	7739
r64	6337	9437
r65	4877	7580
r66	8462	4894
r67	6648	9717
r68	7936	9413
r69	10237	7815
r70	8745	7767
r71	6376	6373
r72	9245	10548
r73	9330	7019
r74	10020	1939
r75	7199	9494
r76	8386	5659
r77	4788	7783
r78	6228	6342
r79	8512	5536
r80	8833	4978
r81	10097	8670
r82	8961	7511
r83	9833	7864
r84	9381	10319
r85	8666	3410
r86	10099	7725
r87	9991	9267
r88	6757	9624
r89	10698	5487
r90	7938	9459
r91	7485	5557
r92	9201	4436
r93	3600	5476
r94	8697	3476
r95	10254	5934
r96	8742	5636
r97	9984	9287
r98	8688	8587
r99	9766	9445
r100	7568	8025
r101	8826	6073
r102	9048	7784
r103	7877	5466
r104	4636	7756
r105	7617	9307
r106	3076	7594
r107	9190	5825
r108	9656	8007
r109	7424	4246
r110	11555	3158
r111	4284	5178
r112	4648	5565
r113	9129	6988
r114	6698	8337
r115	5149	7554
r116	8804	8381
r117	8559	3470
r118	10241	7287
r119	10288	5915
r120	9937	9495
r121	7803	6480
r122	9366	9678
r123	9625	9451
r124	8442	4392
r125	8617	8416
r126	8493	9190
r127	3519	4566
r128	3616	7407
r129	4657	7712
r130	3048	7427
r131	8709	5463
r132	6184	6229
r133	8453	5522
r134	4322	5621
r135	4573	5576
r136	8198	5729
r137	10656	8054
r138	8910	2996
r139	6823	9623
r140	4740	7978
r141	9394	4385
r142	7713	8097
r143	10031	9110
r144	6953	9590
r145	2853	7461
r146	9177	10323
r147	10133	1839
r148	4570	5670
r149	9602	9037
r150	8566	5145
r151	8521	8292
