restaurant	x	y
r1	10191	7516
r2	8945	7823
r3	9874	8230
r4	6665	5998
r5	1069	6534
r6	10931	7794
r7	10207	7620
r8	9219	5618
r9	9308	6654
r10	8770	3191
r11	8199	5282
r12	5771	7260
r13	9905	7895
r14	10429	6155
r15	10855	5312
r16	9679	6057
r17	8761	5675
r18	11846	2857
r19	5064	5341
r20	8077	6207
r21	9477	4186
r22	10320	8461
r23	8081	9197
r24	10277	8922
r25	9642	5187
r26	8800	5430
r27	7867	7730
r28	10310	8930
r29	5481	7298
r30	8967	4141
r31	10398	6185
r32	5243	7359
r33	9482	7840
r34	4957	7356
r35	3410	7131
r36	10201	9031
r37	4862	2756
r38	8967	5062
r39	9793	9910
r40	8899	8156
r41	6694	6122
r42	8937	7984
r43	9055	4724
r44	7752	7748
r45	9235	7762
r46	10522	7652
r47	7557	4852
r48	8181	9057
r49	9241	2589
r50	9869	8732
r51	9355	10288
r52	7054	8108
r53	6971	9289
r54	10201	8847
r55	3915	5319
r56	9109	8010
r57	10325	8770
r58	8747	5148
r59	9730	9447
r60	8598	5425
r61	6613	6031
r62	8914	8223
r63	3847	7260
r64	4902	5152
r65	8834	5411
r66	9977	8818
r67	8899	8273
r68	3222	7373
r69	4914	5452
r70	8035	7828
r71	8897	8690
r72	3854	4215
r73	7693	5314
r74	4858	7437
r75	9383	7564
