order	x	y	placement_time	restaurant	ready_time
o1	16827	21500	598	r1	639
o2	12656	17388	321	r2	328
o3	15512	16858	554	r3	577
o4	15666	19468	552	r4	570
o5	15550	19612	555	r5	563
o6	17606	13957	157	r6	170
o7	18299	10895	581	r7	603
o8	18928	15961	559	r8	566
o9	10479	21408	645	r9	690
o10	16094	23008	476	r10	492
o11	13623	17005	525	r2	530
o12	14802	17544	642	r11	667
o13	16084	24840	502	r12	505
o14	17533	15056	95	r13	97
o15	17764	14969	121	r14	137
o16	17653	13641	316	r15	322
o17	17919	17765	204	r16	224
o18	14656	17356	190	r3	207
o19	13259	16289	659	r17	666
o20	14815	17593	694	r2	705
o21	12827	19054	771	r3	778
o22	14304	24308	486	r18	517
o23	11267	20990	382	r19	407
o24	16099	16215	325	r20	337
o25	20863	3756	263	r21	283
o26	10588	20672	214	r22	251
o27	12897	13718	663	r23	673
o28	15098	12085	767	r24	798
o29	15540	16592	486	r25	489
o30	16601	14573	634	r26	672
o31	9226	19677	584	r27	621
o32	17955	14845	457	r28	469
o33	17510	18409	644	r29	661
o34	14981	10596	468	r30	493
o35	19694	5262	586	r31	601
o36	16091	24260	519	r32	541
o37	18096	11969	527	r33	552
o38	17784	15680	645	r34	658
o39	11179	17074	619	r35	652
o40	14106	17332	637	r36	673
o41	16355	22953	306	r37	312
o42	15442	21603	673	r38	709
o43	14490	21880	530	r39	576
o44	21385	5219	212	r21	245
o45	15558	20397	562	r38	593
o46	17266	17876	508	r40	541
o47	15301	20791	619	r41	647
o48	16325	12253	542	r42	543
o49	12884	21075	153	r43	178
o50	16260	23558	517	r44	525
o51	17717	17410	155	r23	182
o52	11122	20100	742	r45	753
o53	16741	15477	149	r46	154
o54	14500	24783	441	r47	478
o55	16540	14387	757	r3	773
o56	18555	16187	581	r23	617
o57	16222	15690	641	r2	656
o58	13986	18589	538	r48	563
o59	14214	22405	717	r49	728
o60	17623	13619	513	r50	554
o61	18036	17445	494	r20	506
o62	17998	14753	493	r51	549
o63	13661	18404	594	r52	600
o64	16683	21967	610	r53	632
o65	13667	17423	534	r11	565
o66	17507	16817	479	r1	515
o67	16149	14196	535	r54	553
o68	18207	12990	583	r55	593
o69	16752	19600	646	r1	659
o70	15059	21751	587	r10	605
o71	14341	19908	222	r39	232
o72	16197	14731	594	r2	601
o73	14184	11754	594	r56	619
o74	16582	21175	251	r57	262
o75	14734	25649	563	r58	593
o76	13771	18481	539	r23	576
o77	16022	16294	640	r59	678
o78	17758	14970	491	r60	522
o79	15834	14690	596	r61	599
o80	13371	16571	244	r62	250
o81	16673	15175	90	r63	112
o82	10931	19252	638	r64	659
o83	15801	9155	191	r65	198
o84	18145	12453	599	r66	616
o85	14086	16283	738	r2	743
o86	15402	20218	583	r54	615
o87	10582	23412	313	r67	330
o88	16225	19600	598	r68	623
o89	12165	18578	613	r54	650
o90	16538	14832	280	r69	285
o91	14197	22764	647	r57	650
o92	20356	0	618	r70	666
o93	15530	12062	476	r71	498
o94	13318	16070	470	r2	473
o95	16245	23284	395	r72	415
o96	16383	22869	560	r73	565
o97	20664	6683	139	r21	156
o98	17400	15306	481	r74	482
o99	10639	18906	527	r57	532
o100	12275	20845	198	r49	209
o101	12035	17035	459	r75	484
o102	11212	19981	294	r9	330
o103	18123	14739	333	r55	336
o104	15813	20243	418	r38	446
o105	15531	26084	193	r32	206
o106	16085	14358	549	r27	571
o107	14393	23857	459	r10	477
o108	16525	20657	556	r76	576
o109	16348	19448	587	r77	612
o110	13943	19021	612	r78	640
o111	14568	19968	147	r57	149
o112	16772	21970	733	r41	764
o113	21672	5396	232	r31	243
o114	14176	17360	651	r79	652
o115	15486	15921	743	r80	759
o116	15774	22598	322	r81	325
o117	11440	18127	234	r14	250
o118	14284	24449	581	r81	588
o119	14204	24726	257	r82	265
o120	9796	24630	601	r83	607
o121	16770	21152	388	r38	414
o122	14616	17940	538	r84	584
o123	17975	13653	779	r23	796
o124	15882	22441	661	r85	679
o125	13009	14745	627	r14	649
o126	17879	14863	615	r20	645
o127	12625	19201	310	r14	336
o128	17511	15083	138	r86	165
o129	10267	17767	530	r27	565
o130	14341	22188	358	r87	371
o131	16105	14843	515	r88	527
o132	16440	22683	515	r89	521
o133	18147	15751	561	r90	573
o134	18166	5168	596	r21	638
o135	15632	23437	164	r23	186
o136	12882	19041	515	r91	548
o137	18316	11653	247	r46	255
o138	12425	11345	40	r92	42
o139	13481	17392	37	r69	49
o140	12144	19052	167	r2	180
o141	10822	21271	643	r9	681
o142	11301	19529	216	r45	239
o143	17225	15148	567	r20	573
o144	12148	24994	687	r44	698
o145	16700	17671	470	r93	506
o146	17180	14942	120	r55	128
o147	17519	13839	493	r23	519
o148	12860	17104	610	r54	645
o149	16825	21518	503	r41	529
o150	18818	16185	765	r59	802
o151	18050	16602	567	r94	637
o152	14367	17104	300	r74	305
o153	15262	12543	141	r95	152
o154	15213	26146	625	r81	627
o155	17524	17157	125	r96	155
o156	13091	19185	708	r2	711
o157	13995	18696	212	r54	235
o158	13805	19098	580	r2	588
o159	12711	16594	349	r91	385
o160	16349	15107	643	r24	655
o161	14105	24585	169	r97	207
o162	16600	18069	607	r29	625
o163	14940	23097	554	r18	585
o164	13294	16731	241	r14	258
o165	17523	15766	348	r38	370
o166	17699	17103	214	r98	221
o167	17089	19110	604	r99	622
o168	14722	17304	394	r2	411
o169	18417	13051	609	r66	622
o170	14112	23255	184	r82	192
o171	17928	15021	690	r100	721
o172	9985	18736	659	r54	686
o173	15340	16446	147	r88	169
o174	18802	16214	522	r73	525
o175	13880	17059	497	r2	500
o176	14659	16176	530	r3	545
o177	12538	16927	420	r14	440
o178	12340	18930	150	r49	165
o179	13644	14842	206	r101	243
o180	10392	18281	260	r102	291
o181	16794	18524	712	r23	737
o182	18139	14420	526	r77	556
o183	17796	15286	675	r99	692
o184	14785	17832	616	r23	642
o185	18161	13404	79	r103	104
o186	18174	16025	600	r48	626
o187	16861	20140	681	r96	689
o188	18714	16507	239	r104	249
o189	10700	19789	93	r9	125
o190	16169	16108	670	r105	701
