restaurant	x	y
r1	9281	7502
r2	7963	7852
r3	8903	8284
r4	5568	6034
r5	0	6474
r6	10059	7771
r7	9272	7586
r8	8119	5526
r9	8405	6785
r10	7888	3091
r11	7228	5230
r12	4940	7220
r13	8813	7845
r14	9472	6076
r15	10000	5234
r16	8729	6011
r17	7753	5632
r18	10821	2848
r19	4096	5441
r20	6958	6237
r21	8564	4179
r22	9310	8461
r23	7153	9214
r24	9171	9037
r25	8614	5107
r26	7779	5465
r27	6880	7677
r28	9288	9032
r29	4490	7308
r30	8000	3978
r31	9510	6067
r32	4255	7327
r33	8415	7826
r34	3993	7381
r35	2383	7020
r36	9150	9066
r37	3802	2783
r38	8052	5119
r39	8706	9947
r40	7822	8228
r41	5595	6026
r42	7919	7990
r43	8074	4578
r44	6814	7667
r45	8152	7822
r46	9448	7585
r47	6609	4881
r48	7176	9075
r49	8110	2610
r50	8826	8743
r51	8552	10202
r52	6068	8005
r53	5918	9342
r54	9166	8989
r55	2844	5196
r56	8012	8100
r57	9360	8840
r58	7775	5143
r59	8629	9514
r60	7480	5556
r61	5534	5965
r62	7934	8244
r63	3032	7145
r64	3863	5218
r65	7757	5401
r66	9136	8729
r67	7880	8174
r68	2307	7327
r69	3983	5340
r70	6995	7706
r71	7735	8544
r72	2817	4208
r73	6704	5177
r74	3949	7383
r75	8376	7583
