restaurant	x	y
r1	18552	16893
r2	19176	19768
r3	21313	14288
r4	18776	16592
r5	21408	12815
r6	19743	20004
r7	18518	8139
r8	19346	17742
r9	21359	14374
r10	17193	15898
r11	17785	21698
r12	17075	14451
r13	16729	9182
r14	20277	11413
r15	21347	13273
r16	21332	10990
r17	16844	20866
r18	18985	19203
r19	18492	14079
r20	18752	10256
r21	19266	17357
r22	16292	21548
r23	17579	15576
r24	17473	17718
r25	16326	17294
r26	19986	19506
r27	21426	14002
r28	15345	19188
r29	17367	15988
r30	18172	21629
r31	17338	16137
r32	13011	22406
r33	24727	3519
r34	20537	17107
r35	19916	19118
r36	19194	7901
r37	17137	16017
r38	19844	18614
r39	19037	19872
r40	17437	15774
r41	20838	13748
r42	21334	12803
r43	17890	19328
r44	21118	14119
r45	16539	21817
r46	19498	13392
r47	15142	20060
r48	17819	16560
r49	13604	17513
r50	18367	18712
r51	19171	19794
r52	16628	11480
r53	19603	16907
r54	14760	18105
r55	14355	16694
r56	20299	18418
r57	13961	17473
r58	18754	14055
r59	21473	14359
r60	21850	14098
r61	15180	16810
r62	20659	14221
r63	13985	18755
r64	17760	15351
r65	19809	18435
r66	20012	18572
r67	24380	3758
r68	19084	16362
r69	21346	11281
r70	21192	14649
r71	19749	18433
r72	19614	17644
r73	18304	20381
r74	17218	15875
r75	14295	25453
r76	17114	16015
r77	7620	28931
r78	19903	18493
r79	15266	20914
r80	20786	15336
r81	21527	14683
r82	21031	13862
r83	14670	16894
r84	19849	18810
r85	20160	17781
r86	19296	15908
r87	20590	15912
r88	18332	19661
r89	15584	22536
r90	20705	15340
r91	16439	16893
r92	21058	12508
r93	18446	13787
r94	19867	18809
r95	20701	12474
r96	17251	15916
r97	20013	13657
r98	10396	27516
r99	17050	16074
r100	13869	21745
r101	18876	10229
r102	21088	13765
r103	20163	17941
r104	15796	22414
r105	19897	18878
r106	21127	13856
r107	24108	3761
r108	17106	15533
r109	17157	14445
r110	17823	21766
r111	20726	16232
r112	19139	12855
r113	21226	12129
r114	17689	19807
r115	21407	14461
r116	22072	13110
r117	17830	20159
r118	15553	17417
r119	17885	22569
r120	18888	19364
r121	20135	17746
r122	19242	16875
r123	17091	20716
r124	19644	19920
r125	19165	18091
r126	20012	19114
r127	21570	11096
r128	19301	17211
r129	20582	15487
r130	19228	18793
r131	14078	25685
r132	19841	17313
r133	18373	19346
r134	21647	14025
r135	19529	19271
r136	20997	15280
r137	19151	19603
r138	17688	15208
r139	15791	22238
r140	20271	12867
r141	19609	13453
r142	5067	36193
r143	18622	19271
r144	18361	10145
r145	19528	12970
r146	19240	7137
r147	17914	18453
r148	19565	15936
r149	13336	18395
r150	16524	22023
r151	17284	20805
r152	17827	10151
r153	20825	9629
r154	21520	14068
r155	17211	15217
r156	16321	22018
r157	19498	17761
r158	17476	20857
r159	18599	22562
r160	21370	13207
r161	21850	13295
r162	19525	13293
r163	18606	21991
r164	16532	22121
r165	21304	12024
r166	16638	16816
r167	20023	18158
r168	19536	13905
r169	19551	16239
r170	15487	17444
r171	19086	16285
r172	19127	13180
r173	19368	19317
r174	21236	12119
r175	16643	18376
r176	17569	17757
r177	19498	17756
r178	14602	22113
r179	16265	16572
r180	19633	19396
r181	21305	10443
r182	20945	13640
r183	21141	15006
r184	10112	25761
r185	13612	16793
r186	16102	21696
r187	20975	13081
r188	19587	16566
r189	19705	11057
r190	21609	14018
r191	20066	17896
r192	20140	17846
r193	21411	13196
r194	19112	19564
r195	21620	11375
r196	21397	14647
r197	23939	2839
r198	21414	14501
r199	20721	14148
r200	21383	14843
r201	18279	17741
r202	20221	12695
r203	18257	20032
r204	19561	12512
r205	20363	14293
r206	20976	11876
r207	20774	13646
r208	15288	17514
r209	21574	14778
r210	19461	12504
r211	18304	13168
r212	18003	18656
r213	19671	16146
r214	19140	17296
r215	19778	10982
r216	21309	12819
r217	21447	11356
r218	19537	15345
r219	16545	22134
r220	21823	14084
r221	14401	24048
r222	20494	14953
r223	18884	12703
r224	20922	13694
r225	18040	12735
r226	17881	15116
r227	16888	15319
r228	21267	14009
r229	4651	27355
r230	16636	9041
r231	19458	12598
r232	4774	27211
r233	19688	20354
r234	19554	15931
r235	21549	12653
r236	18524	11371
r237	15394	17336
r238	22171	13748
r239	18285	10169
r240	24389	3724
r241	17027	7152
r242	15509	16777
r243	19622	16222
r244	16287	14666
r245	16443	9054
r246	19412	17779
r247	19448	18771
r248	20290	17564
r249	23477	3692
r250	14244	35419
r251	17293	14488
r252	16578	21740
r253	14783	34500
r254	19461	17139
