restaurant	x	y
r1	19688	8135
r2	20203	9040
r3	15420	9178
r4	19674	5937
r5	14696	11712
r6	14605	9552
r7	18565	12638
r8	17543	12779
r9	18165	13247
r10	16747	13539
r11	19647	6884
r12	17231	14037
r13	18171	13615
r14	8727	22217
r15	14683	12068
r16	15875	12487
r17	18632	6347
r18	15743	10731
r19	16176	15076
r20	11350	17265
r21	19365	7305
r22	19611	7472
r23	18909	7149
r24	19574	8766
r25	17953	11378
r26	16176	16423
r27	13536	11590
r28	17931	8264
r29	13146	11536
r30	17840	11008
r31	15506	15432
r32	17141	4984
r33	17058	13994
r34	17795	12507
r35	15469	10611
r36	18390	12553
r37	17393	14553
r38	13574	14904
r39	19557	9704
r40	15912	10400
r41	16063	16454
r42	18211	13664
r43	18296	13936
r44	3062	22197
r45	18427	13373
r46	16091	11363
r47	17121	4935
r48	19859	5927
r49	19029	4521
r50	19187	8426
r51	20031	9468
r52	14682	16843
r53	5948	23685
r54	19326	8449
r55	19762	6171
r56	13642	14145
r57	17897	7213
r58	19610	6880
r59	17421	13528
r60	17450	14626
r61	17951	7148
r62	17899	8150
r63	14874	16808
r64	17116	13175
r65	19990	8004
r66	17701	1939
r67	18433	8491
r68	19806	9346
r69	20557	8667
r70	14768	16892
r71	19856	9381
r72	17838	14032
r73	16730	8590
r74	18158	5784
r75	15689	10846
r76	15066	13272
r77	18674	12272
r78	12871	16978
r79	17478	13590
r80	16400	7551
r81	14343	16550
r82	17415	7607
r83	18252	13814
r84	16920	16779
r85	18294	13233
r86	19612	8942
r87	17664	12601
r88	17514	14586
r89	19390	8501
r90	15395	10386
r91	17898	11088
r92	19856	9682
r93	19336	8574
r94	13067	12810
r95	15261	10082
r96	16819	6213
r97	19304	8503
r98	16007	14568
r99	19580	8833
r100	16621	13970
r101	17506	2856
r102	13729	12376
r103	19889	9490
r104	13555	12411
r105	13708	11640
r106	16287	18467
r107	11890	11696
r108	16628	7871
r109	18695	11565
r110	19003	9028
r111	17983	14583
