courier	x	y	on_time	off_time
c1	18921	12493	0	180
c2	9904	15648	0	180
c3	19452	2507	0	240
c4	14884	356	0	240
c5	13701	13438	0	180
c6	17094	3087	0	180
c7	11909	11795	0	180
c8	17190	11742	0	180
c9	12897	7341	0	180
c10	13406	2742	0	240
c11	17546	10901	0	180
c12	17818	16860	60	300
c13	17196	8748	60	300
c14	11524	9934	60	240
c15	14014	15214	60	240
c16	17671	11317	60	240
c17	1284	19318	60	240
c18	10540	16059	60	240
c19	21616	4542	60	240
c20	17855	4604	60	240
c21	14824	11668	60	240
c22	18015	13250	60	240
c23	16661	3095	60	240
c24	15896	17687	60	240
c25	18715	2000	60	240
c26	9981	3560	60	240
c27	16325	6937	60	240
c28	15979	14305	60	240
c29	12230	2902	60	240
c30	18422	10981	60	240
c31	11115	5920	60	240
c32	18702	10842	60	240
c33	16184	16209	60	240
c34	14168	15212	60	240
c35	13149	12798	60	240
c36	12336	7498	60	240
c37	15500	4224	60	240
c38	10957	16898	60	240
c39	14376	17816	60	240
c40	14328	5132	60	240
c41	21340	7174	60	240
c42	17109	13068	60	240
c43	18767	13493	60	240
c44	20087	3927	60	279
c45	19765	10239	120	360
c46	13499	7923	120	360
c47	10399	13039	120	360
c48	20072	4065	120	360
c49	10546	16689	120	255
c50	19112	4109	120	232
c51	13859	14848	150	225
c52	17060	6589	180	420
c53	9885	12977	180	420
c54	20773	4292	180	420
c55	13502	9626	180	420
c56	13204	8557	180	420
c57	14581	2395	180	420
c58	18182	16390	180	420
c59	13698	2081	180	315
c60	16716	10319	210	315
c61	20017	8858	240	480
c62	10280	3608	240	480
c63	19169	4399	240	420
c64	20089	9319	240	420
c65	10456	2144	240	420
c66	19257	16933	240	420
c67	4115	23078	240	420
c68	19481	2528	240	420
c69	17495	7343	240	420
c70	19650	9551	240	420
c71	18554	11212	240	420
c72	11485	2430	240	420
c73	18818	8753	240	420
c74	19131	14603	240	420
c75	11023	2709	240	420
c76	12769	7813	240	420
c77	14832	5370	240	420
c78	17491	3836	240	420
c79	16256	9196	240	420
c80	12786	5607	240	420
c81	10774	15422	240	420
c82	14644	17821	240	420
c83	11842	16265	240	377
c84	12672	10769	240	396
c85	20278	4182	300	420
c86	18024	10355	300	420
c87	14046	8294	360	600
c88	13930	17635	360	600
c89	11625	10063	360	600
c90	16303	9514	360	600
c91	20503	6414	360	480
c92	18804	9208	390	630
c93	11471	1721	390	630
c94	13766	16772	390	630
c95	20986	6904	390	630
c96	17321	8549	390	630
c97	13247	5072	390	630
c98	9851	14310	390	613
c99	15098	14427	390	457
c100	5458	23959	420	660
c101	9972	4153	420	660
c102	21572	10392	420	660
c103	15852	8513	420	660
c104	18798	2390	420	660
c105	13090	9541	420	660
c106	1703	20715	420	660
c107	15838	7640	420	660
c108	16204	5718	420	660
c109	19188	4745	420	660
c110	14795	2533	420	660
c111	1821	20864	420	660
c112	14694	3200	420	660
c113	17915	6146	420	660
c114	17833	17452	420	660
c115	14336	16512	420	660
c116	19358	5476	420	660
c117	14706	12120	420	660
c118	13570	10179	420	660
c119	13351	17884	420	660
c120	13020	14625	420	660
c121	12974	15881	420	660
c122	16568	898	420	660
c123	16865	17072	420	660
c124	21085	9904	420	660
c125	14889	357	420	660
c126	21297	5608	420	660
c127	16105	3835	420	660
c128	19954	7791	420	660
c129	18471	12894	420	660
c130	4179	23126	420	630
c131	14407	16938	420	585
c132	12621	11213	420	540
c133	10739	10315	420	540
c134	19557	6445	420	480
c135	18909	8343	420	492
c136	12367	6512	435	690
c137	14359	5733	450	690
c138	16750	4669	450	690
c139	11658	2054	450	690
c140	19880	6851	450	690
c141	17881	17616	450	660
c142	22113	7573	450	480
c143	10949	2698	450	487
c144	10612	10417	465	547
c145	19901	11190	480	780
c146	15285	12059	480	750
c147	9815	14979	480	750
c148	12213	4364	480	720
c149	14226	4995	480	720
c150	18731	13480	480	720
c151	15739	4439	480	690
c152	20496	4166	480	690
c153	9881	16860	480	737
c154	16210	2847	510	750
c155	13418	7424	510	750
c156	11648	6746	510	750
c157	16149	9734	510	750
c158	17109	16369	510	652
c159	20267	6244	540	780
c160	13077	8255	600	690
c161	8803	25284	660	810
c162	11506	14584	660	810
c163	11895	11827	660	810
c164	11940	11218	660	810
c165	6795	14373	660	810
c166	18954	2156	660	810
c167	15907	12593	660	810
c168	11142	0	660	780
c169	16550	15156	660	750
c170	19801	5220	660	720
c171	20190	3098	660	705
c172	20641	7694	690	750
c173	10924	13172	705	810
c174	10704	5134	705	727
c175	15531	15714	735	810
c176	15944	7730	735	742
