order	x	y	placement_time	restaurant	ready_time
o1	28006	13494	411	r1	429
o2	30846	11954	504	r2	529
o3	23897	16247	583	r3	604
o4	31340	8724	238	r4	240
o5	30274	12530	749	r5	771
o6	31385	9811	218	r6	266
o7	24295	16500	442	r7	449
o8	28994	20350	615	r8	642
o9	30764	10012	127	r9	129
o10	30560	10419	721	r10	746
o11	26378	11171	586	r11	598
o12	27131	20525	16	r12	24
o13	27911	14027	662	r13	693
o14	31587	12596	546	r14	577
o15	23314	16285	110	r15	123
o16	29432	19028	612	r16	614
o17	24094	15672	113	r17	115
o18	30007	16720	651	r18	669
o19	31051	8657	202	r19	220
o20	25575	14294	106	r20	143
o21	25589	23554	73	r21	90
o22	30013	12592	668	r22	679
o23	27330	8331	156	r23	162
o24	27076	22304	660	r24	735
o25	12107	32108	401	r25	403
o26	26162	10125	432	r2	470
o27	31428	11896	370	r19	382
o28	28742	20856	235	r26	255
o29	26002	21995	448	r6	454
o30	27095	15518	568	r27	589
o31	31804	12095	598	r28	635
o32	24774	15308	722	r17	740
o33	31142	13959	205	r29	207
o34	16621	29017	179	r30	204
o35	29966	14717	551	r31	569
o36	27719	13969	31	r32	48
o37	29163	17366	651	r26	682
o38	29576	12226	217	r29	229
o39	22616	14615	200	r33	218
o40	24118	16448	533	r34	535
o41	26897	18465	546	r35	578
o42	31165	9113	475	r36	490
o43	31387	4206	201	r37	211
o44	29734	17210	361	r38	374
o45	30997	13147	130	r22	133
o46	29556	18590	668	r39	685
o47	29549	11677	92	r40	94
o48	24417	16089	708	r41	720
o49	16381	22215	518	r42	553
o50	24778	15239	568	r43	583
o51	28238	19019	596	r44	608
o52	24636	16306	683	r32	704
o53	27266	19485	486	r45	529
o54	26148	19137	268	r46	271
o55	30424	14933	604	r47	617
o56	26654	18348	604	r48	622
o57	29514	15175	488	r14	509
o58	29531	8859	357	r27	375
o59	20917	29412	601	r49	621
o60	29804	10408	541	r29	547
o61	26700	22034	140	r21	156
o62	30986	9043	596	r50	622
o63	27459	10699	110	r11	128
o64	27396	5485	239	r51	254
o65	26932	12994	405	r52	416
o66	25858	19492	98	r53	104
o67	33939	2370	501	r37	518
o68	24376	15293	446	r54	478
o69	27174	14165	527	r55	545
o70	29782	5829	475	r9	478
o71	30288	13946	618	r56	625
o72	28047	13540	420	r57	445
o73	31029	14675	444	r58	459
o74	29431	16379	427	r59	455
o75	31943	11962	660	r22	663
o76	25676	3954	37	r60	59
o77	25013	16038	764	r26	792
o78	26360	18543	499	r61	514
o79	33233	4770	109	r9	120
o80	31874	12691	567	r62	597
o81	30388	14740	534	r28	565
o82	27821	20054	706	r63	742
o83	29538	11763	713	r63	740
o84	28571	16075	108	r16	138
o85	29415	4227	693	r9	711
o86	29450	17911	755	r28	792
o87	29519	13972	576	r64	602
o88	30601	10583	687	r58	705
o89	24120	16793	556	r65	579
o90	28997	18920	164	r66	172
o91	27685	11553	139	r29	145
o92	29265	18907	633	r67	664
o93	28734	12406	607	r68	633
o94	23773	21017	575	r69	610
o95	24383	21547	469	r35	490
o96	24025	15826	473	r1	485
o97	28630	24968	271	r70	308
o98	20758	20019	189	r71	190
o99	31557	12085	267	r72	283
o100	26680	13692	695	r73	717
o101	29030	17464	624	r44	636
o102	26157	15929	528	r74	548
o103	32025	11996	596	r28	646
o104	24411	14685	703	r75	721
o105	29939	16047	327	r22	328
o106	23688	16463	510	r45	553
o107	24133	17459	171	r76	176
o108	29870	10506	622	r4	624
o109	30978	14267	600	r2	626
o110	29187	20851	482	r77	485
o111	25343	13666	36	r32	59
o112	28804	7302	506	r27	512
o113	29338	19918	302	r78	339
o114	30324	11724	434	r27	459
o115	30557	13887	248	r64	260
o116	28604	18684	167	r79	185
o117	23264	17077	423	r54	454
o118	28246	9891	225	r51	235
o119	30694	12976	276	r80	286
o120	21218	29334	153	r81	160
o121	29192	11635	641	r82	667
o122	28777	14677	177	r83	194
o123	29005	18480	219	r84	242
o124	25097	19915	309	r46	311
o125	30089	15881	121	r83	141
o126	32013	12606	615	r85	637
o127	29096	19501	107	r46	108
o128	25890	10544	632	r32	652
o129	29317	16832	585	r86	603
o130	30286	14711	149	r87	181
o131	23793	15291	129	r88	147
o132	31271	8794	130	r14	155
o133	29756	11181	74	r23	92
o134	29441	16614	137	r89	168
o135	30783	12656	588	r58	608
o136	26740	13612	173	r68	210
o137	29695	13007	584	r73	607
o138	26338	16735	290	r90	322
o139	34414	1831	548	r37	565
o140	25452	16507	486	r91	507
o141	29391	19740	615	r89	671
o142	28775	20713	689	r92	707
o143	27627	22143	622	r93	653
o144	28963	18491	557	r94	570
o145	29038	12914	454	r80	460
o146	30557	13559	758	r95	771
o147	23347	16332	416	r45	459
o148	29248	19310	120	r96	121
o149	25221	13351	686	r97	696
o150	27572	14429	568	r74	595
o151	30589	10224	139	r11	157
o152	27519	22450	545	r6	567
o153	25831	14592	447	r45	490
o154	28961	19920	294	r98	315
o155	24326	16416	664	r99	666
o156	20268	27909	576	r30	597
o157	23316	14389	550	r45	593
o158	25323	14961	595	r45	638
o159	30852	12306	186	r100	189
o160	25942	13797	173	r101	186
o161	8099	31420	354	r102	356
o162	21151	18989	175	r45	261
o163	24252	20624	186	r45	247
o164	30191	12509	127	r28	152
o165	27886	17874	190	r77	196
o166	28877	16856	467	r16	485
o167	28592	21085	168	r16	179
o168	29125	20021	525	r103	537
o169	29297	11254	385	r104	411
o170	23503	22028	673	r105	679
o171	31512	8595	384	r2	401
o172	26530	11742	31	r106	37
o173	28970	17868	493	r86	511
o174	31161	11907	390	r16	405
o175	28894	15154	91	r105	97
o176	13568	30839	654	r102	666
o177	33257	1570	452	r9	458
o178	31650	8682	624	r107	655
o179	32754	2126	634	r51	652
o180	24730	19777	707	r108	719
o181	34520	1745	445	r9	456
o182	30229	11351	130	r57	167
o183	33016	804	484	r82	491
o184	30081	17229	31	r109	76
o185	24463	16387	220	r17	222
o186	31425	12784	235	r110	266
o187	27523	19238	691	r26	722
o188	28413	17548	590	r44	623
o189	25579	8322	482	r104	500
o190	32068	12624	8	r111	21
o191	29345	9835	670	r14	702
o192	28841	17423	397	r89	428
o193	26017	21212	486	r61	512
o194	25108	16778	582	r45	625
o195	24922	16773	300	r90	321
o196	934	31309	418	r112	478
o197	25157	13331	452	r74	477
o198	31098	10068	555	r14	583
o199	24592	16203	401	r113	436
o200	23905	17727	451	r45	494
o201	30431	13798	446	r114	463
o202	29886	16220	274	r32	299
o203	28719	19354	571	r115	583
o204	29179	11449	494	r89	525
o205	30505	14956	161	r18	176
o206	32387	5898	640	r116	652
o207	26618	14605	563	r74	591
o208	26349	11633	188	r117	213
o209	28426	11147	371	r19	389
o210	30961	13332	516	r118	523
o211	31191	9984	487	r50	513
o212	26667	21357	325	r119	340
o213	30784	13718	528	r120	550
