order	x	y	placement_time	restaurant	ready_time
o1	8467	6198	743	r1	755
o2	8234	5342	541	r2	561
o3	4892	5839	626	r3	663
o4	5378	4350	566	r4	586
o5	6160	3621	574	r5	584
o6	10087	5710	131	r6	147
o7	3183	5750	588	r7	600
o8	7107	5620	612	r1	624
o9	8391	4889	680	r8	705
o10	8901	6435	563	r9	600
o11	2263	5087	526	r10	544
o12	7982	6698	313	r11	344
o13	8666	6802	508	r12	520
o14	772	3752	455	r13	465
o15	3058	5431	646	r14	671
o16	7607	6006	265	r15	268
o17	8640	5798	647	r16	684
o18	7596	5628	571	r17	583
o19	5001	6533	581	r16	618
o20	4197	6232	598	r18	609
o21	6498	3991	336	r1	348
o22	1612	5587	152	r19	162
o23	10355	5109	572	r7	587
o24	9605	5331	563	r2	574
o25	8287	7554	625	r20	663
o26	6265	6016	623	r1	635
o27	8673	7053	202	r21	209
o28	7041	3920	621	r22	647
o29	6968	6100	535	r23	556
o30	7316	2760	614	r24	634
o31	8051	3421	266	r25	276
o32	8703	6784	588	r26	621
o33	7294	5720	643	r27	673
o34	8737	6951	506	r28	516
o35	8263	6923	763	r29	794
o36	7966	4758	421	r30	427
o37	8262	7190	458	r7	476
o38	10370	5532	594	r1	619
o39	8179	6790	603	r26	618
o40	7584	6494	137	r31	149
o41	8086	2759	620	r32	642
o42	8150	4551	146	r31	166
o43	8914	6964	137	r33	145
o44	8486	6067	564	r1	589
o45	3940	5675	446	r34	452
o46	8176	6178	306	r35	334
o47	10292	3090	562	r25	567
o48	4969	5622	659	r36	677
o49	842	4016	199	r11	237
o50	7506	2866	494	r30	504
o51	6862	4701	493	r1	505
o52	3276	5211	563	r13	588
o53	5362	4456	255	r30	262
o54	7460	6754	740	r1	752
o55	9425	7061	102	r37	120
o56	144	5403	421	r11	446
o57	7915	2614	537	r24	563
o58	1771	5766	640	r38	652
o59	9246	3834	645	r24	677
o60	5825	2887	539	r19	557
o61	7469	8251	542	r39	559
o62	9634	2761	595	r30	608
o63	6251	7857	486	r21	507
o64	10706	6192	547	r40	578
o65	5460	4342	555	r19	581
o66	3937	5735	198	r5	204
o67	8840	5943	619	r41	636
o68	4095	3632	631	r1	643
o69	9196	5295	680	r1	705
o70	9703	3567	188	r42	225
o71	2297	5459	227	r43	263
o72	3900	5227	584	r4	602
o73	9237	7747	480	r44	483
o74	9053	5783	506	r14	549
o75	7451	6935	210	r21	221
o76	8175	7294	93	r3	130
o77	7940	4118	652	r45	685
o78	2192	5331	181	r46	218
o79	8103	6825	197	r47	214
o80	8654	5591	610	r3	647
o81	8410	6823	776	r1	788
o82	8117	3824	646	r48	659
o83	4937	3357	520	r13	540
o84	7117	3378	549	r20	555
o85	9005	3838	493	r28	505
o86	8013	7278	383	r49	391
o87	8939	6669	296	r1	308
o88	7781	2681	269	r47	287
o89	7650	3244	24	r50	30
o90	5923	5528	614	r28	626
o91	8827	8326	616	r7	629
o92	9940	5739	774	r28	794
o93	5344	5465	168	r37	174
o94	9126	7730	261	r44	263
o95	9237	5662	584	r28	604
