restaurant	x	y
r1	7760	4290
r2	8359	5019
r3	8154	5065
r4	7668	4039
r5	6712	3804
r6	10206	6168
r7	8215	6213
r8	5517	4751
r9	9402	4724
r10	5330	6553
r11	2112	6016
r12	8169	6476
r13	3919	4257
r14	5886	8078
r15	6830	6272
r16	7851	4334
r17	7876	2737
r18	7993	5082
r19	4119	4099
r20	7927	6892
r21	4033	6411
r22	8068	6258
r23	2294	6044
r24	7777	3265
r25	9342	4885
r26	9180	7707
r27	8970	3034
r28	8570	6686
r29	7968	6741
r30	8540	3981
r31	3645	4000
r32	8917	3178
r33	8883	7552
r34	4199	6218
r35	8596	4824
r36	9466	4841
r37	9050	7897
r38	2949	5928
r39	4779	5982
r40	9528	5749
r41	4375	6054
r42	9241	6312
r43	5678	4824
r44	9098	7800
r45	8147	6021
r46	4150	5624
r47	8306	4140
r48	7783	3988
r49	8574	2826
r50	6635	2677
r51	6802	4027
r52	6460	8109
r53	6628	3848
r54	7930	6482
r55	7800	4216
r56	7905	5989
r57	7738	5252
r58	7748	6882
r59	9105	7987
r60	8464	2924
r61	9297	7401
r62	9241	7709
r63	9420	7581
r64	4162	6010
r65	7037	4985
r66	9191	7902
r67	9499	4223
r68	7674	4282
r69	8095	3714
r70	8129	3316
r71	9324	7685
r72	9106	5579
r73	7827	2003
r74	6039	8151
r75	9228	6289
r76	6037	6778
r77	5658	4704
r78	4278	5990
r79	6410	8122
r80	7970	4056
r81	7363	7810
r82	7677	7666
r83	5571	6646
r84	3748	1512
r85	7033	7974
r86	8792	8771
r87	7791	4135
r88	6582	3705
r89	8102	4455
r90	8593	6346
r91	8770	6019
r92	9307	6132
r93	4326	5528
r94	7466	4293
r95	6991	7858
r96	4014	6283
r97	7896	1965
r98	6413	8021
r99	6141	8160
r100	8724	6625
r101	10760	1625
r102	4035	5631
r103	3881	4164
r104	7790	7010
r105	7115	5000
r106	7135	4053
r107	7898	1905
r108	8452	6458
r109	3822	4033
r110	9996	6475
r111	8923	6471
r112	8214	6102
r113	0	5272
r114	6871	6429
r115	8910	7862
r116	4115	6144
