restaurant	x	y
r1	9551	7566
r2	6062	5988
r3	6481	9367
r4	7379	6277
r5	8820	6747
r6	8295	3171
r7	9261	4429
r8	7524	5398
r9	8573	7777
r10	3274	3110
r11	8180	5359
r12	8932	6825
r13	8180	5435
r14	8453	10281
r15	8220	7672
r16	9381	7517
r17	7566	9252
r18	9258	7975
r19	8183	8176
r20	2562	7329
r21	8160	5481
r22	882	4219
r23	8209	4093
r24	8160	6405
r25	7477	7894
r26	9442	9137
r27	7063	5320
r28	5714	7905
r29	7045	5084
r30	9584	9210
r31	8868	7619
r32	3883	5317
r33	4384	5402
r34	3967	7461
r35	4189	2727
r36	7477	9115
r37	4790	7252
r38	9351	9323
r39	4547	6792
r40	4235	5165
r41	323	6476
r42	7346	9116
r43	5918	9207
r44	4357	7573
r45	8532	6277
r46	7052	4892
r47	7208	7456
r48	3345	7189
r49	3333	5236
r50	7259	5074
r51	9884	6936
r52	9171	7731
r53	9338	4423
r54	9770	1698
r55	9447	8668
r56	9507	9016
r57	7562	5182
r58	5951	6078
r59	6560	8098
r60	8326	4642
r61	9373	9186
r62	4610	7613
r63	10509	7137
r64	7909	5606
r65	6780	9194
r66	9714	7382
r67	8274	4892
r68	3237	5331
r69	8296	8087
r70	3068	7136
