restaurant	x	y
r1	24453	13640
r2	24658	19191
r3	28020	15061
r4	28532	15712
r5	25057	18311
r6	24952	18212
r7	27390	17638
r8	27368	14630
r9	29219	14680
r10	29000	14360
r11	26907	20269
r12	28525	14603
r13	29610	15636
r14	29412	13380
r15	28773	15913
r16	26143	22005
r17	26807	21531
r18	29405	16586
r19	29236	16390
r20	27413	15582
r21	27797	19533
r22	27833	15988
r23	27166	20175
r24	27745	21135
r25	23062	21652
r26	26255	21023
r27	28625	14431
r28	27249	19957
r29	27045	15448
r30	28455	15559
r31	27931	14933
r32	28525	18008
r33	29099	17497
r34	28600	14517
r35	28860	14921
r36	29303	15086
r37	24557	15847
r38	29199	15566
r39	27448	18184
r40	29099	13577
r41	30832	708
r42	27669	15862
r43	27006	18106
r44	22924	23238
r45	25201	18122
r46	26976	21791
r47	29245	17044
r48	24850	20162
r49	28015	15055
r50	32039	5897
r51	25279	18275
r52	28511	14630
r53	29264	17193
r54	29014	16295
r55	27100	15663
r56	24072	24236
r57	22189	18992
r58	26923	18566
r59	27356	21405
r60	23041	22290
r61	24098	19565
r62	28671	16015
r63	29273	14941
r64	27900	20833
r65	21170	20721
r66	24256	11362
r67	15547	31179
r68	29448	17025
r69	28068	14838
r70	21683	19811
r71	27835	21517
r72	29217	16985
r73	29300	15554
r74	27386	19009
r75	23096	19105
r76	28606	15858
r77	32197	6037
r78	26780	15654
r79	25498	23949
r80	29279	16785
r81	24440	20748
r82	28135	13834
r83	28556	14589
r84	28109	15153
r85	27435	21625
r86	27729	20773
r87	24359	11318
r88	21400	19923
r89	26751	21645
r90	26469	21448
r91	29184	15105
r92	29018	12750
r93	12435	29523
r94	27290	19164
r95	29064	14769
r96	29174	15510
r97	18727	37105
r98	28616	11928
r99	25543	17623
r100	22008	24682
r101	24572	13785
r102	27725	20728
r103	22581	20335
r104	25875	25944
r105	28593	17706
r106	30093	16092
r107	27338	18459
r108	25584	21468
r109	28917	17330
r110	26010	23986
r111	28580	14780
r112	18154	29667
r113	28693	16442
r114	29027	16408
r115	27031	22126
r116	25388	19894
r117	26500	25911
r118	3409	32158
r119	26913	22194
r120	29561	16256
r121	27452	19899
r122	28622	17703
r123	28949	16384
r124	20958	16730
r125	25009	18304
r126	26977	15004
r127	28863	15893
r128	27896	20029
r129	25782	17569
r130	28355	17185
r131	26365	13802
r132	22109	26381
r133	27364	21587
r134	24633	17539
r135	28047	20125
r136	21749	21001
r137	28832	14170
r138	28720	15960
r139	23346	19669
r140	20938	24798
