restaurant	x	y
r1	26936	14938
r2	26882	15045
r3	23881	15903
r4	31056	13627
r5	30600	12828
r6	29202	16809
r7	25015	16672
r8	28243	21655
r9	34146	2826
r10	28898	14939
r11	29264	11589
r12	27518	16787
r13	26413	17553
r14	30297	13249
r15	22992	17527
r16	28050	17954
r17	24445	15914
r18	29622	17680
r19	29903	10497
r20	28017	19133
r21	27424	20805
r22	30613	14426
r23	28838	11677
r24	24744	20096
r25	7939	32565
r26	27529	18471
r27	29114	12480
r28	30400	14421
r29	31067	10348
r30	20906	31670
r31	30850	12807
r32	27359	14410
r33	22822	13467
r34	26015	13622
r35	25261	21688
r36	30982	12341
r37	33485	2749
r38	29580	18110
r39	28860	17525
r40	30908	13568
r41	26741	15166
r42	17437	27942
r43	25023	16651
r44	29525	18301
r45	24939	18443
r46	29513	17697
r47	26736	14305
r48	29217	15033
r49	18207	26411
r50	31070	10386
r51	28090	7216
r52	29815	12701
r53	26790	16076
r54	24398	17155
r55	23404	15927
r56	26028	16156
r57	31067	14004
r58	30728	13057
r59	29624	18012
r60	26658	6349
r61	28302	18416
r62	30640	11659
r63	30639	12794
r64	29565	16466
r65	26957	15138
r66	28495	19578
r67	28803	17126
r68	29147	11671
r69	24285	21247
r70	27434	20716
r71	20111	26467
r72	25719	14262
r73	28720	15447
r74	26990	15180
r75	26737	13617
r76	25671	20824
r77	29767	17098
r78	25983	16355
r79	27601	19280
r80	28670	12005
r81	14315	26453
r82	28511	9379
r83	29174	14386
r84	29350	19141
r85	30932	13105
r86	29922	16727
r87	29144	15987
r88	26841	15146
r89	29512	17573
r90	27446	18800
r91	26872	14632
r92	28742	18903
r93	27731	20771
r94	26829	19808
r95	29391	16582
r96	28615	18492
r97	28134	17171
r98	28641	18412
r99	24856	19150
r100	30963	11801
r101	23571	16556
r102	13476	31255
r103	28119	21105
r104	26214	10459
r105	29628	17919
r106	26509	12115
r107	31021	10216
r108	29267	19530
r109	29121	16851
r110	27452	17605
r111	31468	13313
r112	5155	29018
r113	25068	16406
r114	30862	14055
r115	27259	16867
r116	32332	3953
r117	27522	11605
r118	30837	13160
r119	25899	20646
r120	31461	13174
r121	26600	19940
r122	29251	12537
r123	31185	13008
r124	31023	12360
r125	30953	11502
r126	34546	2626
r127	18627	29793
r128	29123	12190
r129	29172	15978
r130	23188	16634
r131	26876	19743
r132	30168	16184
r133	28891	7082
r134	27873	16845
r135	29302	13151
r136	28229	15873
r137	26185	21255
r138	27026	15130
r139	31187	13518
r140	29404	6608
r141	30569	12749
r142	26794	16980
r143	5538	32395
r144	30615	12882
r145	28782	12158
r146	29135	16086
r147	27048	20739
r148	31057	13710
r149	31014	11885
r150	20613	33880
r151	23899	21542
r152	27232	16852
r153	15398	42164
r154	31033	13136
r155	29583	17575
r156	26367	10481
r157	29897	17009
r158	28978	16442
r159	31118	13136
r160	30146	14067
r161	29874	17518
r162	28978	18647
r163	28027	12100
r164	19699	24915
r165	27997	18799
r166	29180	16753
r167	31052	11901
r168	28140	13134
r169	29829	11969
r170	30332	14559
r171	26295	20844
r172	27008	20855
r173	31047	11770
r174	28119	9234
r175	14288	26513
r176	30428	13242
r177	27088	15002
r178	17715	23712
r179	31120	13849
r180	28455	17585
r181	28997	18301
r182	29898	12184
r183	26707	13637
r184	26959	14326
r185	22698	21671
r186	31111	13963
r187	31128	13349
r188	30948	11077
r189	28836	17928
r190	30960	11209
r191	27667	11814
r192	29190	15306
r193	30330	15318
r194	26068	15632
r195	30369	14480
r196	32964	2789
r197	29610	17234
r198	28827	16358
r199	29605	17920
r200	28635	9231
r201	27393	21663
r202	28458	19522
r203	31048	13331
r204	26295	8201
r205	30826	11153
r206	16097	26395
r207	29166	16770
r208	28985	6213
r209	28136	10528
r210	29165	15717
r211	31054	13265
r212	30287	15041
r213	33728	2776
r214	23408	14193
r215	28568	15869
r216	30538	14467
r217	25993	8172
r218	29064	18432
r219	30301	11566
r220	26241	8313
r221	28946	16976
r222	26001	13797
r223	25805	14428
r224	27221	14739
r225	27216	9317
r226	23596	20794
r227	27024	15100
r228	31892	12866
r229	28598	11732
r230	28501	13122
r231	31160	11771
r232	29947	16926
r233	29297	15065
r234	26372	15946
r235	25586	21349
r236	29918	11040
r237	31093	11814
r238	28628	19009
r239	28824	18730
r240	28891	16446
r241	30697	11129
r242	30398	8723
r243	29389	9965
r244	26125	21121
r245	31195	10396
r246	28700	18842
r247	29048	16899
r248	27315	14301
r249	19427	36248
r250	27967	12842
r251	28991	16948
r252	29939	17013
r253	28059	18313
r254	29968	16676
r255	29129	18487
r256	5417	35871
r257	27102	20032
r258	31854	12225
r259	14682	35286
r260	26023	14735
r261	24786	15974
r262	26811	16318
r263	27987	19470
r264	27894	13604
r265	27387	14557
r266	28935	15971
r267	33141	2811
r268	25449	21691
r269	29210	15385
r270	30580	12975
