order	x	y	placement_time	restaurant	ready_time
o1	25768	12595	18	r1	31
o2	26933	23469	28	r2	63
o3	28901	15239	31	r3	97
o4	27906	15980	33	r4	64
o5	24676	17722	37	r5	49
o6	25649	18647	59	r2	70
o7	25721	18247	60	r6	92
o8	25741	12661	61	r1	104
o9	27159	17817	69	r6	86
o10	26006	14649	74	r7	82
o11	27398	14744	75	r8	93
o12	28715	15342	79	r9	102
o13	29299	13557	79	r10	104
o14	28815	15261	80	r11	117
o15	27761	19973	80	r12	93
o16	28689	15273	81	r13	93
o17	28734	15981	81	r14	103
o18	27961	14051	82	r15	99
o19	26875	21681	83	r16	88
o20	23876	22231	83	r17	96
o21	28737	15252	83	r18	103
o22	28702	15241	86	r19	148
o23	26658	15666	88	r20	100
o24	24947	19835	89	r21	94
o25	27892	15428	90	r22	112
o26	28247	21518	91	r23	107
o27	26390	20273	91	r24	116
o28	21835	20025	93	r25	125
o29	25814	22968	94	r26	116
o30	27531	20979	95	r24	100
o31	29367	14718	95	r9	107
o32	22798	22587	95	r24	132
o33	28784	15257	95	r27	97
o34	27763	16860	97	r28	142
o35	29040	13321	99	r9	111
o36	25783	14071	101	r29	111
o37	26760	14925	102	r30	108
o38	24857	14914	102	r31	120
o39	29550	16331	103	r32	121
o40	30179	16072	103	r33	109
o41	28745	15217	106	r34	124
o42	28795	15606	106	r15	161
o43	29022	15140	107	r35	133
o44	27167	14670	109	r9	121
o45	29653	15483	110	r7	122
o46	28565	15068	110	r9	122
o47	28496	16926	112	r36	157
o48	29167	16135	113	r19	175
o49	29183	14571	114	r37	152
o50	29516	16965	115	r38	127
o51	24861	21567	117	r17	132
o52	26581	16935	118	r39	120
o53	21944	19958	119	r25	162
o54	28948	15247	119	r29	126
o55	28247	15243	120	r40	128
o56	25253	12005	120	r1	137
o57	30204	2928	123	r41	154
o58	28674	15292	124	r9	136
o59	28822	13910	124	r42	159
o60	24883	15679	125	r27	127
o61	28680	17271	125	r43	155
o62	22315	23474	127	r44	145
o63	27446	17090	127	r45	133
o64	23790	24328	130	r46	137
o65	28068	20900	131	r24	133
o66	29044	17686	131	r47	167
o67	29363	16048	131	r9	143
o68	26784	23961	132	r26	148
o69	24344	18377	133	r15	154
o70	29374	12653	133	r9	139
o71	21711	19531	135	r48	158
o72	28596	14596	136	r49	143
o73	28828	15267	138	r13	165
o74	31987	6934	139	r50	156
o75	25008	19280	139	r6	151
o76	28731	15210	139	r48	162
o77	27611	15995	140	r18	180
o78	29904	9346	140	r50	196
o79	27307	22196	142	r24	144
o80	30063	15494	142	r9	154
o81	28866	14941	144	r51	159
o82	24909	16911	145	r15	167
o83	23736	20649	145	r52	158
o84	25928	16237	145	r29	152
o85	26719	26127	146	r16	153
o86	25709	20196	147	r24	149
o87	26527	16614	147	r20	169
o88	28736	15290	148	r7	163
o89	24157	17159	148	r51	158
o90	28489	14685	149	r49	156
o91	28859	17812	149	r53	180
o92	26627	19974	150	r2	160
o93	23535	19274	150	r46	165
o94	28950	17405	151	r54	178
o95	28115	20369	153	r24	161
o96	24031	21244	153	r48	178
o97	28922	17585	155	r15	182
o98	28771	15218	155	r55	221
o99	27710	21707	157	r24	167
o100	31821	6457	157	r50	219
o101	26482	20021	158	r56	186
o102	28452	16352	160	r7	175
o103	22407	18797	161	r57	181
o104	26802	23731	164	r15	186
o105	23730	18753	166	r58	178
o106	25799	19940	168	r26	179
o107	25250	24677	169	r59	207
o108	28141	20359	172	r33	178
o109	29900	15657	172	r18	182
o110	28108	19742	173	r38	196
o111	28784	17347	173	r37	205
o112	22444	24375	174	r60	180
o113	28603	15563	177	r9	189
o114	28793	15249	178	r48	200
o115	30123	16267	179	r54	204
o116	27849	22286	179	r23	205
o117	27269	23325	181	r23	204
o118	26100	23369	181	r61	194
o119	26391	24636	182	r17	202
o120	22789	20088	182	r25	233
o121	29817	16356	184	r38	207
o122	28609	15725	184	r62	192
o123	28818	15172	187	r63	199
o124	26877	23341	187	r16	199
o125	28093	22029	188	r64	199
o126	28900	17520	189	r65	204
o127	26172	21005	191	r24	201
o128	26804	9352	191	r66	198
o129	28572	14493	196	r13	221
o130	26934	16122	197	r9	210
o131	29408	16225	197	r4	199
o132	29008	15586	198	r15	221
o133	23628	21071	198	r46	209
o134	28603	14185	199	r12	204
o135	28861	17796	200	r43	233
o136	10906	32741	202	r67	237
o137	29043	18123	204	r68	224
o138	24759	15040	206	r69	243
o139	23814	18455	206	r39	207
o140	27838	20035	208	r46	224
o141	27860	22427	208	r24	209
o142	25874	21276	209	r26	221
o143	27966	20292	209	r26	221
