restaurant	x	y
r1	7818	3668
r2	8483	4501
r3	8320	4472
r4	7880	3494
r5	6899	3160
r6	10149	5464
r7	8116	5603
r8	5667	4236
r9	9486	4175
r10	5308	6060
r11	2213	5564
r12	8113	5983
r13	3859	3727
r14	5866	7449
r15	6888	5612
r16	7756	3773
r17	8028	2243
r18	8003	4381
r19	4164	3479
r20	7887	6394
r21	4018	5802
r22	8222	5686
r23	2224	5576
r24	7978	2651
r25	9444	4288
r26	9209	7239
r27	8851	2548
r28	8574	6146
r29	7953	5996
r30	8639	3417
r31	3680	3516
r32	8856	2699
r33	8946	6963
r34	4079	5572
r35	8734	4203
r36	9394	4290
r37	9007	7284
r38	3007	5241
r39	4847	5399
r40	9488	5199
r41	4315	5381
r42	9310	5675
r43	5620	4275
r44	9311	7116
r45	8225	5537
r46	4037	5030
r47	8461	3732
r48	7795	3250
r49	8567	2298
r50	6638	2098
r51	6869	3522
r52	6368	7521
r53	6817	3270
r54	7856	5960
r55	7848	3633
r56	7970	5491
r57	7951	4769
r58	7805	6293
r59	9086	7339
r60	8478	2350
r61	9458	6859
r62	9220	7075
r63	9363	6988
r64	4190	5421
r65	6970	4451
r66	9092	7390
r67	9472	3738
r68	7644	3559
r69	8097	3134
r70	8145	2825
r71	9279	7001
r72	8989	4966
r73	7933	1431
r74	6061	7440
r75	9202	5717
r76	6209	6144
r77	5748	4118
r78	4416	5501
r79	6420	7427
r80	8052	3359
r81	7365	7289
r82	7657	7074
r83	5614	6115
r84	3827	821
r85	7238	7200
r86	8858	8117
r87	7877	3526
r88	6611	3112
r89	8142	3753
r90	8515	5778
r91	8694	5518
r92	9344	5622
r93	4271	5055
