courier	x	y	on_time	off_time
c1	6109	6856	0	240
c2	9452	2876	15	135
c3	6680	1250	15	75
c4	9483	2929	30	150
c5	7838	2832	75	315
c6	2180	4741	105	285
c7	2113	4791	105	225
c8	7725	2805	105	180
c9	3554	2810	135	315
c10	3546	2643	135	165
c11	7733	2945	150	210
c12	2055	4635	165	255
c13	7803	4616	165	345
c14	7773	5226	180	225
c15	2159	4822	195	375
c16	3928	5038	195	285
c17	8007	5215	210	330
c18	8794	7299	210	300
c19	7985	5110	210	300
c20	7737	2890	240	285
c21	7884	2886	270	330
c22	4213	4166	285	390
c23	8373	5225	300	420
c24	3949	4817	300	360
c25	7976	4888	330	420
c26	2096	4786	360	420
c27	8419	1432	375	435
c28	8656	5357	390	435
c29	8464	2546	420	510
c30	8467	2537	420	480
c31	8085	5123	435	525
c32	8141	5244	435	570
c33	9297	4915	450	630
c34	3774	2964	450	630
c35	7818	5044	465	585
c36	7730	5583	465	525
c37	8416	5042	480	600
c38	8420	5204	480	600
c39	3921	5105	480	600
c40	7753	5547	495	735
c41	7766	2886	495	735
c42	8110	5214	495	735
c43	8291	3621	510	690
c44	7922	2615	510	690
c45	3796	2960	510	660
c46	5881	6535	525	705
c47	7692	4034	525	705
c48	5205	5314	525	615
c49	8112	3762	540	660
c50	8133	4636	540	660
c51	3861	0	540	660
c52	8014	4980	540	660
c53	3559	2830	540	660
c54	8234	3727	540	660
c55	7984	4893	555	735
c56	8179	3654	555	735
c57	6739	2500	570	810
c58	2018	4642	570	690
c59	8033	3660	585	705
c60	4293	4681	585	705
c61	5519	3417	585	705
c62	7830	2879	585	705
c63	8127	4851	585	645
c64	9293	4751	600	780
c65	7821	2832	615	705
c66	7735	2936	615	660
c67	2162	4776	645	765
c68	9260	4780	660	750
c69	7996	5108	660	705
c70	7716	2897	705	825
c71	4740	4544	705	825
c72	7722	2835	750	840
