restaurant	x	y
r1	28815	12123
r2	31483	13654
r3	27449	17152
r4	28964	17336
r5	26126	21542
r6	23758	21995
r7	26858	15531
r8	26244	10980
r9	31048	13975
r10	26681	15423
r11	28564	18752
r12	30968	11669
r13	29960	11039
r14	28015	18210
r15	30635	12056
r16	15439	42538
r17	27468	18785
r18	34113	3341
r19	28822	19161
r20	28193	16334
r21	33540	3255
r22	27383	21284
r23	26852	14684
r24	29246	16052
r25	30002	17057
r26	28819	19093
r27	26852	16317
r28	27505	19738
r29	17356	28438
r30	25686	14665
r31	30294	16651
r32	27951	19599
r33	30407	11981
r34	14351	26715
r35	28328	18823
r36	28849	15348
r37	30986	12127
r38	29088	12971
r39	31178	14384
r40	30297	14873
r41	28839	7430
r42	30716	14852
r43	24848	18843
r44	27005	20323
r45	27098	9653
r46	5585	32805
r47	14703	35824
r48	27017	15548
r49	30980	12157
r50	29062	16387
r51	26307	21179
r52	28873	15817
r53	31085	14051
r54	28479	19856
r55	25633	21175
r56	23535	16993
r57	31097	14236
r58	30788	11573
r59	29705	18014
r60	18031	26958
r61	30900	14559
r62	27028	21299
r63	27452	21155
r64	29211	12986
r65	5160	29316
r66	26112	21522
r67	22753	22079
r68	25278	22042
r69	29444	16888
r70	30651	13122
r71	26423	17939
r72	31105	13809
r73	28506	9800
r74	28673	12299
r75	25082	16901
r76	32329	4313
r77	24781	20338
r78	25964	16759
r79	29627	18454
r80	29435	10355
r81	30943	10575
r82	24696	19572
r83	29789	17318
r84	31079	12239
r85	31197	10784
r86	29492	18703
r87	26256	8580
r88	28441	12168
r89	33104	3158
r90	29811	13130
r91	29232	16554
r92	29198	15499
r93	28811	16864
r94	23560	21179
r95	30586	11465
r96	29897	12637
r97	30295	15534
r98	28970	18069
r99	28385	9607
r100	30798	13284
r101	30342	15563
r102	29165	15829
r103	30823	13611
r104	25486	21757
r105	29789	17403
r106	27310	14659
r107	31414	13504
r108	30742	13130
r109	28798	16313
r110	28136	10891
r111	27993	12499
r112	26812	16587
r113	25018	17027
r114	28539	19589
r115	28495	17909
r116	34434	3071
r117	18756	30102
r118	26212	8614
r119	30499	13674
r120	31768	13336
r121	28386	13603
r122	33745	3259
r123	30437	9222
r124	29619	18172
r125	27801	12243
r126	30666	13201
