restaurant	x	y
r1	7371	5213
r2	7544	7663
r3	8648	4369
r4	4191	7735
r5	9937	9246
r6	8815	8103
r7	2917	7630
r8	10836	7339
r9	9874	9228
r10	3535	3265
r11	2870	7519
r12	4859	7562
r13	4630	5390
r14	8504	8405
r15	8702	4965
r16	8461	5682
r17	4997	7039
r18	6346	6257
r19	3609	7415
r20	9572	8129
r21	9844	7723
r22	8992	6560
r23	10134	5741
r24	7294	5072
r25	6752	9520
r26	8564	8605
r27	9292	7964
r28	9212	7654
r29	8577	5527
r30	5891	8084
r31	9890	9193
r32	4567	5820
r33	5136	7412
r34	8626	4667
r35	4459	2871
r36	9713	9350
r37	6875	9531
r38	6721	8325
r39	9733	9389
r40	8573	8439
r41	7645	9272
r42	9558	4465
r43	9743	9466
r44	7504	5469
r45	1946	6946
r46	4645	5698
r47	8327	6602
r48	8834	4172
r49	8617	8366
r50	9633	8906
r51	9547	4760
r52	9882	7933
r53	3279	5409
r54	8546	4805
r55	8481	5612
r56	4969	7395
r57	8572	8015
r58	1171	4340
r59	9796	9394
r60	9129	8233
r61	8900	7453
r62	3356	7421
r63	8903	8096
r64	6835	9561
r65	7166	9597
r66	8436	3331
r67	8625	4784
r68	6274	6352
r69	8339	5708
r70	3476	5502
r71	7268	9524
r72	9084	7994
r73	9340	9597
r74	8816	5820
r75	4712	5694
r76	7548	7683
r77	635	6723
r78	9617	7715
r79	8703	7822
r80	4247	5684
r81	11486	3192
r82	7467	5237
r83	1034	4370
r84	8884	8172
r85	10031	7637
r86	8788	5997
r87	8437	10302
r88	9944	7739
r89	7796	6592
r90	8502	6571
r91	637	6703
r92	5498	7527
r93	8521	3441
r94	9001	7009
r95	7681	7931
r96	9173	4293
r97	9791	8797
r98	6293	6205
r99	7473	5583
r100	7872	9395
r101	8397	9241
r102	6151	9441
r103	9260	6365
r104	6923	9603
r105	9039	8068
r106	9974	7751
r107	6256	6180
r108	4334	7727
r109	8524	8120
r110	7838	5479
r111	8482	5187
r112	4417	5604
r113	9203	7052
r114	9762	7010
r115	8271	5657
r116	8404	5417
r117	9645	7047
r118	8827	7200
r119	2985	7319
r120	8883	7818
r121	8614	8632
r122	7657	5365
r123	9728	9483
r124	4785	7621
r125	3558	5481
r126	9886	9469
r127	3547	4590
r128	6341	8229
r129	8735	8150
r130	4392	5685
r131	9191	4337
r132	7921	5383
r133	6905	9629
r134	3591	5554
r135	10070	1869
r136	9638	7911
r137	8925	10409
r138	4970	7446
r139	10046	7142
r140	8453	5645
r141	8563	8290
r142	9736	9505
r143	9127	10436
r144	4707	7708
r145	10501	8140
r146	4610	7841
r147	8710	5436
r148	7431	7992
r149	9443	9550
r150	4803	7692
r151	7727	9323
r152	3592	7694
r153	8661	3458
r154	10574	5522
r155	8650	7919
r156	5014	7555
r157	3570	7431
r158	9516	3673
r159	9661	9407
