courier	x	y	on_time	off_time
c1	5218	7577	0	165
c2	5883	10745	15	135
c3	7344	6936	45	165
c4	7448	7035	45	165
c5	7454	6873	90	210
c6	7424	11555	105	195
c7	8890	9164	120	300
c8	7425	6937	120	300
c9	7370	6853	135	315
c10	2513	8723	135	315
c11	6366	5364	150	390
c12	4554	8703	150	270
c13	7861	9318	165	285
c14	7315	6995	165	285
c15	7896	7149	165	225
c16	7578	6989	180	300
c17	1736	8820	180	300
c18	8793	10544	195	315
c19	3852	8834	195	435
c20	3730	6840	195	315
c21	3840	8788	195	315
c22	7687	8778	195	315
c23	8961	10548	210	330
c24	7733	9207	210	330
c25	4029	8185	210	270
c26	6816	6773	225	405
c27	6856	6637	225	345
c28	7531	5554	225	315
c29	8450	9496	225	300
c30	6330	6555	240	420
c31	1863	8901	240	420
c32	6509	8825	240	420
c33	8897	10519	240	330
c34	7422	6874	255	495
c35	8098	9299	255	375
c36	3171	6891	270	510
c37	7991	7835	270	390
c38	7479	6855	285	465
c39	6595	9041	285	465
c40	8871	10694	300	360
c41	9012	9940	345	525
c42	7739	9274	345	525
c43	769	5751	345	525
c44	9048	9879	345	465
c45	7468	7042	360	540
c46	1781	8837	360	540
c47	6463	6488	360	480
c48	7859	7755	360	450
c49	7525	6893	360	450
c50	7896	7779	360	405
c51	9152	7624	375	555
c52	7702	6096	375	495
c53	1728	8896	375	405
c54	7616	7003	390	480
c55	8825	10555	420	510
c56	1884	8794	435	615
c57	4005	8313	435	525
c58	8640	9064	450	630
c59	6514	6494	450	630
c60	4006	8813	450	630
c61	4850	9285	465	585
c62	8938	9875	465	525
c63	8419	10260	510	750
c64	6842	10534	510	750
c65	8874	10469	510	750
c66	3309	8930	510	690
c67	3409	8878	510	720
c68	2512	8686	525	765
c69	8010	7801	525	765
c70	4858	7359	525	765
c71	7931	7827	525	705
c72	1752	8800	525	615
c73	1772	8798	555	735
c74	3443	6913	555	735
c75	8844	8991	555	735
c76	7546	6952	555	735
c77	7992	7853	555	735
c78	8934	8963	555	765
c79	6651	10621	570	750
c80	5752	10918	570	750
c81	6502	8745	570	750
c82	8569	10155	570	750
c83	9588	6748	585	825
c84	8802	10520	585	825
c85	3594	4103	585	825
c86	7615	6948	585	825
c87	9661	6716	585	765
c88	6538	10569	585	765
c89	8700	10664	600	720
c90	8468	9427	600	720
c91	8699	10724	600	720
c92	8035	7720	600	660
c93	8417	9474	615	855
c94	8392	7595	615	855
c95	7800	11694	615	855
c96	1055	8083	630	720
c97	8927	10632	630	675
c98	3506	6689	645	885
c99	8001	7841	645	885
c100	7779	7377	690	810
c101	4931	9383	690	810
c102	3658	6654	720	810
c103	7698	6086	720	810
c104	8767	10713	720	765
c105	7559	9644	765	885
c106	8784	10765	765	885
c107	8152	9365	765	885
c108	7576	6949	765	885
c109	7687	6104	765	885
c110	4596	8738	780	900
c111	8707	10752	780	900
c112	8144	9140	780	900
c113	8965	8960	780	900
c114	4036	8671	780	810
c115	7507	9657	795	915
c116	7532	9302	795	915
c117	7480	11534	795	915
c118	8617	9190	795	855
c119	4066	8753	810	990
c120	6502	8940	810	930
c121	7524	9725	810	930
c122	8404	9393	825	915
c123	6568	8900	840	885
c124	7795	6101	855	900
