restaurant	x	y
r1	9514	9447
r2	8054	8206
r3	6671	7838
r4	7404	11498
r5	9287	7049
r6	8942	8982
r7	7521	9228
r8	7799	7172
r9	5760	10895
r10	7857	8798
r11	7652	6301
r12	9754	9163
r13	7963	9164
r14	8047	6893
r15	7542	6898
r16	7629	9704
r17	6452	6476
r18	8653	10758
r19	3807	8834
r20	8476	9357
r21	3660	6892
r22	3635	8927
r23	8887	10561
r24	7778	9195
r25	6077	10863
r26	6570	8876
r27	9094	9798
r28	7592	9449
r29	8120	9359
r30	8181	6596
r31	7685	5473
r32	7484	7064
r33	6686	9321
r34	7523	6032
r35	6247	6389
r36	7688	6198
r37	8053	9190
r38	6762	7715
r39	3353	6815
r40	3316	8936
r41	8417	10949
r42	7983	7697
r43	4195	8642
r44	8361	11417
r45	5976	10779
r46	6893	10592
r47	2420	6694
r48	6594	10516
r49	8331	9174
r50	6397	9129
r51	5779	10723
r52	4164	2352
r53	8467	5903
r54	3806	6837
r55	7581	9753
r56	8853	10551
r57	7727	5456
r58	4857	7480
r59	8570	10674
r60	8027	11609
r61	7551	9667
r62	7486	5905
r63	8126	9074
r64	2339	6653
r65	3868	9015
r66	7325	6842
r67	1781	8542
r68	7855	11705
r69	9065	3061
r70	8821	10236
r71	7535	6845
r72	7717	6664
r73	8198	8395
r74	7292	6898
r75	9090	10342
r76	7619	4700
r77	8517	9172
r78	7553	11421
r79	7446	10127
r80	5286	7448
