restaurant	x	y
r1	27699	20679
r2	24887	17961
r3	25481	17779
r4	25614	18759
r5	26534	18885
r6	28969	15001
r7	24442	11250
r8	28847	17363
r9	23030	21399
r10	26059	21855
r11	25024	18009
r12	27701	21744
r13	28678	14208
r14	23827	17404
r15	28602	14414
r16	29523	16856
r17	24796	17463
r18	25704	21379
r19	24079	23582
r20	29199	14535
r21	31927	5789
r22	26874	21719
r23	28799	15786
r24	26297	13496
r25	27447	18082
r26	28565	16370
r27	25211	18233
r28	28549	11759
r29	28840	15969
r30	28503	14424
r31	32631	5628
r32	25607	24602
r33	29679	16020
r34	27390	17389
r35	24165	19090
r36	25239	17983
r37	27409	19789
r38	27639	20599
r39	26204	22153
r40	29295	16462
r41	25661	20603
r42	28029	14898
r43	24987	19973
r44	26361	24134
r45	21721	19548
r46	28482	14518
r47	24200	24152
r48	25269	18091
r49	27029	21671
r50	27435	15443
r51	28778	14643
r52	25750	17277
r53	25055	22926
r54	24834	16438
r55	29184	13296
r56	26676	12310
r57	27760	20916
r58	21810	23787
r59	28981	16276
r60	27687	15836
r61	28018	14806
r62	28101	15042
r63	27985	15828
r64	23173	18934
r65	24199	11144
r66	29243	13180
r67	21089	20658
r68	27646	19536
r69	25013	18092
r70	30790	348
r71	24488	13477
r72	25707	25482
r73	27634	21241
r74	29180	16641
r75	25007	16570
r76	27736	20853
r77	26053	19812
r78	27335	19069
r79	24971	18068
r80	29115	15396
r81	27950	20127
r82	25772	22402
r83	22864	22131
r84	24457	11116
r85	27728	20361
r86	29490	15508
r87	27898	20573
r88	27332	15599
r89	25313	19816
r90	29161	14808
r91	23079	18854
r92	27069	14740
r93	28460	17335
r94	29324	16703
r95	27084	10007
r96	27081	18053
r97	27148	21243
r98	25825	14955
r99	27755	20907
r100	26915	14985
r101	28023	14832
r102	22062	18880
r103	28981	14207
r104	28466	14504
r105	26953	18402
r106	25926	23891
r107	24130	19319
r108	27034	20811
r109	24864	18029
r110	27729	21140
r111	22473	18913
r112	28018	19770
r113	28375	19218
r114	26193	12213
r115	27352	14532
r116	28725	15836
r117	25414	19725
r118	29252	13833
r119	25374	18073
r120	23322	24615
r121	29982	15208
r122	26275	15888
r123	28154	19618
r124	27595	20697
r125	28894	17015
r126	28814	14755
r127	22502	20222
r128	22090	26249
r129	29156	16246
r130	18204	29591
r131	32341	5763
r132	28422	16419
r133	28356	15410
r134	27948	20686
r135	28070	15067
r136	26123	20954
r137	24763	22923
r138	26144	21400
r139	27020	9287
r140	24452	20484
r141	28042	13637
r142	26596	15593
r143	25590	23703
r144	27029	18510
r145	25263	12322
r146	25650	20723
r147	28329	15616
r148	28533	17530
r149	27078	18966
r150	27482	18771
r151	24476	13557
r152	29133	16405
r153	24402	24069
r154	27187	19867
r155	28008	19870
r156	26789	21491
r157	28901	17433
r158	25179	17400
r159	29113	14649
r160	24649	15551
r161	29543	15456
r162	23373	19393
r163	29304	17060
r164	21452	19014
r165	29178	17010
r166	27439	14606
r167	25603	17325
r168	27345	21518
r169	27749	20661
r170	26296	16437
r171	29184	14829
r172	29081	14924
r173	28681	15152
r174	27299	19915
r175	26427	25871
r176	22931	23004
r177	30088	15989
r178	28572	14657
r179	26419	21364
r180	27079	15503
r181	24852	16596
r182	26836	21504
r183	27306	18217
r184	26486	16196
r185	22038	24597
r186	27042	20086
r187	26417	24739
r188	27326	19776
r189	28827	15821
r190	29273	15491
r191	28886	14016
r192	27139	19800
r193	26947	21766
r194	28156	14866
r195	29023	16178
r196	28822	15825
r197	28467	18027
r198	29371	16035
r199	29575	16191
r200	25858	25818
r201	24581	18927
r202	28504	16126
r203	29397	13319
r204	12572	29432
r205	27577	13012
r206	28553	15240
r207	28518	14430
r208	22877	22912
r209	27317	15528
r210	26947	19407
r211	29362	15176
r212	25434	21858
r213	26929	15323
r214	21056	16568
r215	29232	16649
r216	24057	24089
r217	28974	16123
r218	31148	5799
r219	25190	23755
r220	22397	24249
r221	28026	19848
r222	21312	19799
r223	29231	14767
r224	28744	15737
r225	28194	17083
r226	28503	17392
r227	26913	21891
r228	24964	22772
r229	18634	37042
r230	24199	24138
r231	29431	17008
r232	29057	15421
r233	29169	16633
r234	28609	14656
r235	28123	14624
r236	27405	21354
r237	27399	18022
r238	21708	20781
r239	20956	24535
r240	28491	14571
r241	27482	18193
r242	28462	17826
r243	29086	12607
r244	25744	25856
r245	3334	31944
r246	27297	21918
r247	29120	14127
r248	27939	19796
r249	27295	19293
r250	26126	15267
r251	29144	14931
r252	15408	30942
r253	28449	14318
r254	25597	23801
r255	12436	29487
r256	25553	12273
