restaurant	x	y
r1	26896	15116
r2	26779	15259
r3	24013	16211
r4	31041	13775
r5	30586	13031
r6	29240	17128
r7	24966	16951
r8	28362	21840
r9	34004	3198
r10	28900	15336
r11	29229	11682
r12	27563	17003
r13	26280	17726
r14	30259	13523
r15	22884	17893
r16	28040	18155
r17	24397	16071
r18	29539	17836
r19	30005	10758
r20	28045	19499
r21	27415	21035
r22	30705	14646
r23	28928	12013
r24	24749	20312
r25	7794	32736
r26	27515	18644
r27	29007	12757
r28	30428	14716
r29	31027	10604
r30	20858	31957
r31	30884	13138
r32	27253	14641
r33	22853	13668
r34	25932	13901
r35	25203	21808
r36	31015	12694
r37	33456	3036
r38	29582	18349
r39	28920	17803
r40	31006	13811
r41	26798	15360
r42	17362	28330
r43	25014	16895
r44	29488	18536
r45	24897	18631
r46	29611	17843
r47	26613	14678
r48	29222	15330
r49	18097	26599
r50	31032	10609
r51	28010	7569
r52	29641	12982
r53	26794	16192
r54	24274	17385
r55	23331	16094
r56	26063	16231
r57	31178	14155
r58	30772	13131
r59	29470	18155
r60	26672	6437
r61	28325	18551
r62	30644	11816
r63	30733	12960
r64	29548	16680
r65	27085	15305
r66	28317	19760
r67	28796	17332
r68	29091	12007
r69	24177	21435
r70	27294	21094
r71	19971	26707
r72	25663	14489
r73	28830	15778
r74	26954	15403
r75	26671	13787
r76	25678	21134
r77	29720	17346
r78	25886	16604
r79	27551	19531
r80	28766	12075
r81	14241	26631
r82	28469	9460
r83	29241	14769
r84	29365	19306
r85	30739	13346
r86	29748	17083
r87	28993	16326
r88	26859	15257
r89	29309	17843
r90	27328	18987
r91	26746	14836
r92	28603	19209
r93	27710	20992
r94	26905	20135
r95	29470	16749
r96	28626	18555
r97	28155	17385
r98	28751	18655
r99	24818	19445
r100	30912	12016
r101	23449	16684
r102	13398	31592
r103	28114	21383
r104	26203	10814
r105	29489	18155
r106	26516	12370
r107	30950	10451
r108	29224	19638
r109	29058	17097
r110	27499	17727
r111	31384	13460
r112	5151	29122
r113	25039	16619
r114	30860	14326
r115	27123	17077
r116	32469	4098
r117	27443	12002
r118	30783	13521
r119	25938	20774
r120	31481	13385
r121	26566	20154
r122	29230	12692
r123	31176	13241
r124	30929	12535
r125	31006	11798
r126	34473	2958
r127	18732	29894
r128	29217	12379
r129	29153	16191
r130	23119	17005
r131	26742	19986
r132	30278	16493
r133	28976	7255
r134	27994	16995
r135	29200	13357
r136	28335	16133
r137	26010	21440
r138	27198	15422
r139	31006	13794
r140	29418	6932
r141	30605	13001
r142	26836	17246
r143	5570	32538
r144	30676	13003
r145	28719	12465
r146	29189	16279
r147	27098	21091
r148	31054	13936
r149	31019	12072
r150	20460	34194
r151	23887	21803
r152	27097	17127
r153	15474	42335
r154	31107	13332
r155	29657	17769
r156	26310	10763
r157	29805	17210
r158	28914	16570
r159	31115	13324
r160	30005	14278
r161	29836	17824
r162	28965	19016
r163	27944	12476
r164	19754	25141
r165	27961	19097
r166	29120	16951
r167	30996	12111
r168	28142	13462
r169	29799	12296
r170	30242	14798
r171	26334	20936
r172	27034	21071
r173	30891	11876
r174	27923	9367
r175	14187	26664
r176	30325	13525
r177	27027	15249
r178	17720	23895
r179	31109	14007
r180	28514	17804
r181	28985	18540
r182	29814	12433
r183	26775	13767
r184	26927	14688
r185	22701	21763
r186	31072	14100
r187	31089	13657
r188	30874	11492
r189	28838	18243
r190	30928	11363
r191	27739	12150
r192	29283	15512
r193	30327	15479
r194	25932	15844
r195	30240	14838
r196	33102	2955
r197	29624	17591
r198	28775	16570
r199	29516	18084
r200	28563	9444
r201	27408	21935
r202	28466	19667
r203	31045	13630
r204	26229	8529
r205	30759	11432
r206	16108	26652
r207	29031	17059
r208	28957	6461
r209	28082	10818
r210	29234	16048
r211	30992	13493
r212	30302	15242
r213	33709	2913
r214	23347	14484
r215	28570	15948
r216	30429	14641
r217	26099	8500
r218	29128	18725
r219	30272	11741
r220	26197	8511
r221	28921	17167
r222	26009	14181
