order	x	y	placement_time	restaurant	ready_time
o1	3386	9266	48	r1	69
o2	6447	6506	68	r2	106
o3	8103	9583	78	r3	101
o4	9627	9380	91	r4	104
o5	10814	8662	92	r5	114
o6	8455	9292	103	r6	126
o7	2972	7260	104	r2	140
o8	4667	4707	112	r7	142
o9	7173	6774	118	r7	143
o10	7581	9490	118	r8	123
o11	8944	5419	125	r9	152
o12	11651	2898	126	r10	133
o13	4402	7472	126	r11	152
o14	10045	9857	135	r12	153
o15	7735	8949	137	r13	143
o16	6400	9943	143	r13	158
o17	7249	10095	143	r14	180
o18	9902	10460	156	r15	186
o19	5847	7025	158	r15	185
o20	8693	7666	164	r16	201
o21	7873	8733	170	r17	191
o22	10568	8890	177	r18	183
o23	10634	8947	180	r4	197
o24	7058	7185	184	r15	207
o25	9594	5097	184	r16	219
o26	2339	5390	184	r19	195
o27	9602	10468	186	r20	231
o28	8171	7428	187	r6	205
o29	8257	5203	191	r21	204
o30	9751	5793	194	r22	220
o31	9724	9184	204	r23	221
o32	10829	8959	205	r24	236
o33	7211	10242	207	r15	228
o34	8253	10277	211	r5	249
o35	4012	7673	212	r17	228
o36	10333	5618	219	r25	240
o37	9695	4820	225	r26	243
o38	6557	6171	225	r27	248
o39	8657	7986	229	r28	266
o40	6370	6870	231	r15	259
o41	8436	10050	234	r29	250
o42	10140	8575	246	r30	252
o43	8470	6040	248	r16	280
o44	8017	7521	248	r16	280
o45	8735	4564	252	r11	270
o46	7369	8872	256	r15	271
o47	9148	8775	261	r31	277
o48	6668	6102	262	r32	277
o49	7691	6773	266	r19	272
o50	8380	6838	272	r33	285
o51	5119	8175	278	r11	300
o52	5915	7865	287	r11	298
o53	10168	7446	289	r6	311
o54	10624	9966	294	r34	312
o55	8214	7792	310	r15	316
o56	9924	7934	328	r6	346
o57	7636	7954	329	r35	341
o58	9500	9003	338	r16	369
o59	10497	7590	346	r4	354
o60	6902	8418	347	r36	370
o61	7930	2692	347	r10	364
o62	10498	8795	364	r4	382
o63	8568	9041	365	r17	380
o64	13041	2462	367	r10	382
o65	8661	6872	375	r27	387
o66	7508	4261	384	r10	386
o67	9364	5479	386	r15	396
o68	9569	4830	389	r9	415
o69	5377	8376	394	r37	406
o70	8257	14	399	r10	400
o71	10270	5925	403	r15	419
o72	8721	11149	408	r24	426
o73	7941	10580	413	r38	439
o74	9845	9274	417	r18	430
o75	7389	6149	424	r15	442
o76	6620	8386	426	r16	446
o77	6569	10400	426	r23	451
o78	9212	8838	436	r17	452
o79	5973	6067	440	r26	451
o80	3143	8236	442	r39	458
o81	9203	8094	446	r16	471
o82	9035	8547	448	r40	461
o83	9589	9199	459	r41	462
o84	792	7451	460	r19	478
o85	10708	9951	460	r40	481
o86	10972	8835	461	r42	482
o87	6996	8166	463	r35	481
o88	6128	10206	471	r17	489
o89	1533	6383	474	r7	506
o90	9023	10202	475	r17	508
o91	7876	9032	475	r28	512
o92	8587	8493	477	r17	495
o93	11326	8579	477	r43	495
o94	7978	9666	478	r17	508
o95	7760	8920	481	r17	509
o96	6407	6732	483	r44	508
o97	8151	7958	485	r20	521
o98	8827	5405	485	r44	507
o99	9881	8742	486	r45	491
o100	10254	9200	486	r46	487
o101	10202	5541	488	r16	506
o102	8726	10347	492	r11	507
o103	10190	8924	495	r44	517
o104	11308	4927	499	r44	521
o105	9516	11043	501	r24	527
o106	8748	7162	501	r17	519
o107	8426	5594	502	r5	514
o108	7821	4799	509	r44	546
o109	2268	7599	510	r7	528
o110	9218	8349	514	r27	530
o111	8180	10661	515	r24	533
o112	8592	4569	515	r10	532
o113	8842	8878	518	r9	543
o114	9463	9702	521	r8	531
o115	10324	9549	521	r17	543
o116	7950	9867	527	r8	533
o117	9394	7811	528	r17	549
o118	9080	9084	530	r47	531
o119	6476	6548	537	r7	580
o120	10323	5067	538	r44	575
o121	9128	9016	542	r45	552
o122	8447	7096	544	r26	569
o123	10362	9576	546	r17	568
o124	3541	7599	546	r7	571
o125	10577	9134	549	r17	567
o126	7268	7434	549	r44	566
o127	7729	7581	551	r31	563
o128	9038	9823	551	r40	571
o129	9744	8377	554	r40	579
o130	9598	9692	554	r20	576
o131	8763	8876	555	r8	566
o132	2716	7701	555	r7	576
o133	7455	7859	556	r17	566
o134	6043	6776	558	r44	565
o135	11323	8871	558	r40	574
o136	2153	7865	559	r2	595
o137	8422	9406	559	r17	565
o138	3495	6299	562	r7	590
o139	6674	7247	564	r12	582
o140	9282	6441	564	r20	570
o141	10732	5625	565	r44	582
o142	9563	11134	565	r43	583
o143	6846	7856	566	r16	589
o144	6712	4324	567	r35	580
o145	9283	4677	573	r16	611
o146	11337	6856	573	r4	584
o147	9438	4817	575	r44	597
o148	8308	7233	576	r16	611
o149	8180	9759	578	r4	591
o150	8172	10208	578	r48	613
o151	11379	7224	578	r49	580
o152	5426	7539	578	r39	609
o153	9137	8810	580	r17	597
o154	11293	8703	581	r50	618
o155	9439	8940	583	r50	618
o156	9418	10885	583	r32	593
o157	3436	5153	583	r51	593
