courier	x	y	on_time	off_time
c1	17260	19298	0	180
c2	18232	17854	0	180
c3	16053	18666	0	180
c4	9870	23203	0	180
c5	13664	2941	0	240
c6	21606	15694	0	180
c7	15899	3640	0	240
c8	19482	15357	0	180
c9	17436	18464	0	180
c10	22942	8659	0	240
c11	10192	23174	0	180
c12	17788	24492	60	300
c13	17160	16276	60	300
c14	17758	11736	60	265
c15	15235	24836	60	264
c16	11450	22290	60	240
c17	16161	23966	60	240
c18	13453	24725	60	240
c19	15236	16318	60	240
c20	20797	6681	60	240
c21	1230	28685	60	240
c22	16806	18727	60	240
c23	11500	17606	60	240
c24	11128	24522	60	240
c25	15500	14616	60	240
c26	12579	16571	60	240
c27	18443	18547	60	240
c28	13271	20529	60	240
c29	17824	18855	60	240
c30	18766	21168	60	240
c31	194	27632	60	240
c32	21555	12027	60	240
c33	10774	25407	60	240
c34	14388	12555	60	240
c35	14073	22762	60	240
c36	18316	18749	60	240
c37	10530	10875	60	240
c38	13012	16005	60	240
c39	19320	11263	60	240
c40	14308	25434	60	240
c41	14868	19279	60	240
c42	12234	19955	60	240
c43	14107	22835	60	240
c44	20194	11549	60	230
c45	19641	17783	120	360
c46	15691	17064	120	360
c47	9738	21566	120	360
c48	10251	20578	120	360
c49	17951	16178	120	360
c50	15554	14400	120	127
c51	13912	22298	150	225
c52	18211	23953	180	420
c53	9935	20675	180	420
c54	9746	19038	180	420
c55	17709	23603	180	420
c56	13496	17082	180	420
c57	14809	18080	180	420
c58	13345	16068	180	420
c59	13823	9793	180	315
c60	16805	17815	210	315
c61	13086	25438	240	480
c62	10327	11075	240	480
c63	19993	16531	240	480
c64	12767	18517	240	480
c65	12790	15418	240	420
c66	1896	23936	240	420
c67	20406	20676	240	420
c68	19614	17197	240	420
c69	13129	21104	240	420
c70	18780	12362	240	420
c71	12881	13286	240	420
c72	3870	30712	240	420
c73	10680	23060	240	420
c74	14817	12853	240	420
c75	13821	19825	240	420
c76	11432	9994	240	420
c77	11935	10218	240	420
c78	18605	18670	240	420
c79	18677	14044	240	420
c80	14662	25299	240	420
c81	10492	9610	240	420
c82	11780	23718	240	377
c83	15544	16260	240	456
c84	18167	17933	300	420
c85	20579	6753	300	420
c86	12826	24309	360	600
c87	13812	10302	360	600
c88	21026	18161	360	600
c89	11705	17691	360	600
c90	14125	25308	360	480
c91	17466	16029	390	630
c92	10595	19403	390	630
c93	10250	22769	390	630
c94	13349	12895	390	630
c95	11605	9338	390	630
c96	13838	24384	390	630
c97	9836	21875	390	613
c98	14457	24294	390	457
c99	17528	18296	420	765
c100	18984	15982	420	725
c101	10604	18647	420	660
c102	13321	25590	420	660
c103	14651	19601	420	660
c104	16156	11303	420	660
c105	11402	25533	420	660
c106	13569	17699	420	660
c107	17541	6394	420	660
c108	16883	24688	420	660
c109	14483	6978	420	660
c110	14865	9969	420	660
c111	19996	15312	420	660
c112	724	28193	420	660
c113	14660	22331	420	660
c114	10135	4452	420	660
c115	13223	17088	420	660
c116	472	27932	420	660
c117	19219	12193	420	660
c118	11788	10350	420	660
c119	15889	15167	420	660
c120	21164	13293	420	660
c121	22672	13614	420	660
c122	14278	24200	420	660
c123	18620	18598	420	660
c124	21623	18093	420	660
c125	15768	16194	420	660
c126	21119	17441	420	660
c127	17943	13865	420	660
c128	15717	5629	420	645
c129	17914	23331	420	585
c130	12608	18867	420	540
c131	10648	17926	420	540
c132	19466	14031	420	480
c133	12787	11871	420	547
c134	9882	22871	435	690
c135	11606	9755	450	690
c136	10937	10316	450	690
c137	20146	15295	450	690
c138	17832	25234	450	660
c139	22166	15138	450	480
c140	14902	18489	450	727
c141	10631	17959	465	547
c142	9841	22504	480	750
c143	12339	12025	480	720
c144	12471	16129	480	720
c145	14381	12672	480	720
c146	18810	21199	480	720
c147	16531	19562	480	720
c148	15831	12090	480	690
c149	11656	19737	480	690
c150	18087	12862	480	660
c151	9756	24295	480	647
c152	10828	17318	510	750
c153	13479	14889	510	750
c154	13276	12059	510	750
c155	16142	17137	510	750
c156	16862	15898	510	652
c157	18877	25224	540	780
c158	13153	15964	600	690
c159	17846	16815	660	810
c160	22489	4287	660	810
c161	11967	18774	660	810
c162	14489	25595	660	810
c163	12075	19337	660	810
c164	16072	20119	660	810
c165	15015	22198	660	810
c166	21397	10938	660	780
c167	14435	10583	660	720
c168	16627	14527	660	795
c169	20656	15374	690	750
c170	10914	20773	705	810
c171	10815	12638	705	727
c172	21135	15068	735	750
c173	15877	15307	735	802
