courier	x	y	on_time	off_time
c1	27976	9985	0	240
c2	23766	2896	0	240
c3	23656	2863	0	240
c4	25683	3558	0	240
c5	29705	5541	0	240
c6	20500	15742	0	180
c7	27698	6688	0	180
c8	22927	17845	0	180
c9	25060	10111	0	180
c10	24771	8220	0	180
c11	19825	4589	0	180
c12	30750	8074	0	180
c13	19619	18453	0	180
c14	25207	18096	0	180
c15	29345	8598	0	180
c16	20084	17487	0	180
c17	22463	15962	0	180
c18	24884	15903	0	180
c19	19953	5895	0	180
c20	20343	9686	0	180
c21	27859	20252	0	100
c22	29939	5684	0	160
c23	23482	8205	30	210
c24	19471	9337	30	45
c25	20476	20187	60	300
c26	26034	7775	60	240
c27	23412	12742	60	240
c28	19898	16576	60	240
c29	28737	11111	60	240
c30	23290	6101	60	240
c31	29842	12829	60	240
c32	26881	16176	60	240
c33	18154	26450	60	240
c34	19702	11225	60	240
c35	30931	12488	60	240
c36	27205	15181	60	240
c37	23868	17788	60	240
c38	19878	15667	60	240
c39	21177	8970	60	240
c40	25450	17462	60	240
c41	31589	9300	60	240
c42	21495	5740	60	240
c43	27165	15458	60	240
c44	21728	6906	60	240
c45	27169	16720	60	240
c46	26619	20440	60	240
c47	26300	17863	60	240
c48	5585	21265	60	240
c49	29102	19040	60	240
c50	30685	11239	60	240
c51	29630	17464	60	240
c52	19688	20491	60	240
c53	30718	11645	60	240
c54	25997	11538	60	240
c55	19908	16713	60	240
c56	30542	7226	60	240
c57	20991	7551	60	240
c58	26874	9835	60	240
c59	15847	30581	60	240
c60	30242	13892	60	240
c61	21084	7084	60	240
c62	19684	10478	60	240
c63	27246	7927	60	188
c64	19905	7181	60	288
c65	19787	4784	90	165
c66	27105	4162	120	180
c67	30989	12737	150	240
c68	22631	13344	240	420
c69	23022	4689	240	420
c70	11722	22532	240	420
c71	24328	5095	240	420
c72	29507	5422	240	420
c73	27459	18746	240	420
c74	27177	5902	240	420
c75	10956	29780	240	420
c76	28783	14478	240	420
c77	21389	9236	240	420
c78	25302	16274	240	420
c79	19683	13055	240	420
c80	29829	8791	240	420
c81	24784	3227	240	420
c82	22723	12121	240	420
c83	23091	18696	240	420
c84	27860	14391	240	420
c85	29758	14558	240	420
c86	27707	19507	240	420
c87	22822	19711	240	420
c88	23401	5860	240	420
c89	26953	20862	240	420
c90	27789	15236	240	420
c91	21824	13997	240	420
c92	20682	18766	240	420
c93	29720	7090	240	420
c94	26767	9823	240	420
c95	28031	20107	240	420
c96	22596	10257	240	420
c97	22374	3256	240	420
c98	28434	8953	240	420
c99	27655	10309	240	420
c100	25848	14155	240	420
c101	24847	3249	240	460
c102	19997	13783	300	420
c103	23725	17210	300	390
c104	24412	16125	390	630
c105	29855	14927	390	630
c106	19235	18886	390	630
c107	29891	7343	390	630
c108	20035	14513	390	630
c109	20331	13274	390	630
c110	26430	16673	390	630
c111	27273	14295	390	630
c112	27850	12088	390	630
c113	25277	10231	390	630
c114	24046	12245	390	630
c115	22370	9392	390	570
c116	23458	16514	390	437
c117	25930	19517	405	517
c118	26289	17852	411	490
c119	22674	19253	420	660
c120	20176	2083	420	660
c121	20354	12774	420	660
c122	27305	4964	420	660
c123	7629	26839	420	660
c124	27520	20310	420	660
c125	29012	5136	420	660
c126	13716	28584	420	660
c127	19696	17371	420	660
c128	24192	13998	420	660
c129	22814	14194	420	660
c130	3958	24833	420	660
c131	22774	20711	420	660
c132	19423	1979	420	660
c133	15846	20339	420	660
c134	14572	20292	420	660
c135	20848	15311	420	660
c136	27217	13993	420	660
c137	5869	17830	420	660
c138	28176	13646	420	660
c139	20629	9613	420	660
c140	25991	3681	420	660
c141	19031	1934	420	660
c142	7393	23758	420	660
c143	21515	2324	420	660
c144	23729	5926	420	660
c145	20097	10582	420	660
c146	25428	17204	420	660
c147	23802	2907	420	660
c148	21631	7304	420	660
c149	27200	19202	420	660
c150	23271	12479	420	660
c151	28108	16787	420	660
c152	11521	24516	420	660
c153	8712	27210	420	660
c154	29190	5237	420	660
c155	7029	20632	420	660
c156	28279	5308	420	660
c157	22397	4488	420	660
c158	16220	25308	420	660
c159	29058	6135	420	660
c160	23809	5225	420	630
c161	28534	9139	420	540
c162	24197	14617	420	645
c163	29424	12570	450	690
c164	19904	15286	450	690
c165	27125	20566	450	690
c166	27667	12145	450	690
c167	27489	16236	450	690
c168	24807	19401	450	690
c169	26929	15865	450	690
c170	25319	15440	450	690
c171	21584	8825	450	690
c172	19903	7335	450	690
c173	21543	10969	450	690
c174	29752	9411	450	690
c175	20876	14895	450	690
c176	23336	17630	450	690
c177	21044	7447	450	690
c178	23839	19226	450	690
c179	19408	12922	450	562
c180	21192	12144	450	499
c181	28650	4935	465	562
c182	23815	14326	480	720
c183	24236	6531	480	720
c184	20934	7117	480	720
c185	19073	20555	480	720
c186	19832	15085	480	720
c187	26588	10832	480	720
c188	25681	11555	480	720
c189	28570	12174	480	720
c190	23033	13489	480	720
c191	24836	10961	480	720
c192	22568	10702	480	720
c193	19399	12771	480	720
c194	21595	7514	480	720
c195	25549	14356	480	720
c196	27598	15935	480	720
c197	23404	13852	480	720
c198	23566	2837	480	720
c199	26553	9060	480	720
c200	27480	14617	480	739
c201	29749	11243	510	720
c202	26047	13419	525	622
c203	24339	19473	540	780
c204	30257	12991	540	780
c205	19408	7828	540	780
c206	32142	8725	540	780
c207	23357	13541	540	780
c208	21423	7005	540	780
c209	24498	16745	540	780
c210	21732	6849	540	780
c211	21517	13883	540	780
c212	22870	14037	540	720
c213	27423	7539	540	682
c214	27208	17021	555	660
c215	29579	14336	645	712
c216	25034	15341	660	810
c217	21880	5778	660	810
c218	14514	22744	660	810
c219	27889	10593	660	810
c220	27501	9435	660	810
c221	3661	24686	660	810
c222	29452	5390	660	810
c223	19928	2046	660	810
c224	20916	2824	660	810
c225	3163	29126	660	810
c226	22972	17284	660	810
c227	20565	2146	660	810
c228	19275	17291	660	810
c229	31460	7657	660	810
c230	17270	21537	660	810
c231	27299	19650	660	750
c232	24938	7990	675	810
c233	21329	10695	675	735
c234	25110	15570	675	780
c235	25735	12536	690	810
c236	25812	7100	690	780
c237	25184	6141	690	765
c238	29327	8123	720	765
