restaurant	x	y
r1	9283	7058
r2	5696	5473
r3	6262	8872
r4	7017	5739
r5	8393	6283
r6	7897	2661
r7	9013	3781
r8	7350	4769
r9	8311	7352
r10	2936	2462
r11	7769	4751
r12	8696	6258
r13	7881	4963
r14	8270	9641
r15	8018	7122
r16	9176	7068
r17	7246	8597
r18	8856	7417
r19	7981	7765
r20	2271	6913
r21	7902	4957
r22	484	3545
r23	7986	3510
r24	7824	5870
r25	7076	7305
r26	9265	8606
r27	6717	4734
r28	5226	7281
r29	6726	4472
r30	9166	8631
r31	8590	7197
r32	3622	4929
r33	4135	4817
r34	3655	6980
r35	3818	2245
r36	7259	8702
r37	4467	6658
r38	9132	8815
r39	4401	6378
r40	3870	4597
r41	38	5987
r42	6960	8676
r43	5584	8602
r44	3935	6992
r45	8349	5734
r46	6686	4269
r47	6842	6870
r48	2940	6682
r49	2885	4767
r50	6946	4458
r51	9601	6459
r52	8972	7044
r53	8966	3848
r54	9434	1059
r55	9191	8153
r56	9301	8514
r57	7309	4554
r58	5795	5556
r59	6238	7405
r60	7842	4048
r61	9165	8710
r62	4259	7016
r63	10261	6703
r64	7652	5036
r65	6571	8749
r66	9379	6833
r67	7828	4539
r68	2969	4834
r69	7975	7577
r70	2769	6599
