order	x	y	placement_time	restaurant	ready_time
o1	25888	12471	3	r1	14
o2	27097	23388	13	r2	41
o3	29032	15058	16	r3	69
o4	28013	15772	18	r4	43
o5	24764	17451	22	r5	32
o6	25980	18356	44	r2	53
o7	25907	18213	45	r6	71
o8	25807	12446	46	r1	81
o9	27359	17672	54	r6	68
o10	26225	14641	59	r7	66
o11	27517	14580	60	r8	75
o12	28980	15157	64	r9	83
o13	29376	13441	64	r10	84
o14	28917	15164	65	r11	95
o15	27902	19841	65	r12	76
o16	28942	14966	66	r13	76
o17	28958	15797	66	r14	84
o18	27927	13915	67	r15	81
o19	27035	21622	68	r16	72
o20	23994	22048	68	r17	79
o21	28850	15128	68	r18	84
o22	28834	15057	71	r19	121
o23	26917	15498	73	r20	83
o24	25133	19748	74	r21	78
o25	27953	15261	75	r22	93
o26	28288	21264	76	r23	89
o27	26606	20098	76	r24	96
o28	21942	19916	78	r25	104
o29	25994	22743	79	r26	97
o30	27659	20989	80	r24	84
o31	29473	14561	80	r9	90
o32	22965	22397	80	r24	110
o33	28887	15115	80	r27	82
o34	27827	16679	82	r28	118
o35	29270	13197	84	r9	94
o36	25780	13854	86	r29	94
o37	26862	14761	87	r30	92
o38	25024	14601	87	r31	102
o39	29815	16027	88	r32	103
o40	30339	15992	88	r33	93
o41	28986	15069	91	r34	106
o42	29099	15471	91	r15	135
o43	29077	14858	92	r35	113
o44	27403	14491	94	r9	104
o45	29884	15233	95	r7	105
o46	28721	14919	95	r9	105
o47	28518	16616	97	r36	133
o48	29296	15886	98	r19	148
o49	29453	14446	99	r37	130
o50	29834	16830	100	r38	110
o51	24844	21336	102	r17	114
o52	26779	16657	103	r39	105
o53	22091	19822	104	r25	139
o54	28979	14911	104	r29	110
o55	28456	15076	105	r40	112
o56	25419	11900	105	r1	119
o57	30287	2654	108	r41	133
o58	28892	15119	109	r9	119
o59	28914	13650	109	r42	137
o60	25124	15554	110	r27	112
o61	28939	17220	110	r43	134
o62	22379	23315	112	r44	127
