restaurant	x	y
r1	69	7311
r2	5711	7001
r3	7140	7068
r4	8126	8161
r5	7315	9937
r6	9025	7832
r7	2177	8187
r8	9245	9925
r9	7929	4987
r10	9346	2486
r11	8625	8643
r12	7945	9093
r13	3934	8570
r14	6202	10194
r15	8486	6320
r16	8529	8831
r17	7953	9108
r18	8254	8643
r19	4358	7625
r20	9115	10044
r21	6713	5969
r22	6705	4923
r23	6984	9996
r24	6221	10209
r25	9518	6923
r26	8187	8660
r27	5629	6979
r28	7914	8196
r29	9374	9082
r30	9538	8610
r31	8122	7217
r32	9446	7010
r33	7999	5789
r34	9225	9696
r35	8653	6028
r36	4315	8235
r37	5595	7007
r38	6376	10289
r39	3669	6240
r40	8248	8502
r41	9216	8488
r42	9325	9966
r43	8746	10301
r44	7978	5453
r45	6886	5856
r46	7088	9972
r47	7684	6267
r48	9994	9638
r49	8741	6974
r50	7871	5481
r51	3824	3651
r52	7706	9905
r53	9441	9292
r54	4155	8303
r55	8835	8785
r56	8747	10282
r57	7793	7444
r58	8655	5010
r59	7783	5856
r60	8151	9042
