courier	x	y	on_time	off_time
c1	33780	4051	0	240
c2	34127	2847	0	240
c3	29471	7262	0	240
c4	28889	21378	0	180
c5	22286	20582	0	180
c6	25234	11063	0	180
c7	29612	19386	0	180
c8	29357	14856	0	180
c9	28567	12432	0	180
c10	21914	11293	0	180
c11	22397	19306	0	180
c12	30683	10990	0	180
c13	24553	20444	0	180
c14	33755	9180	0	180
c15	32432	12189	0	180
c16	26244	18899	0	180
c17	27760	18747	0	180
c18	21136	19468	0	180
c19	24451	21196	0	20
c20	28502	1875	0	222
c21	23142	8687	15	97
c22	33775	12467	60	240
c23	28600	14539	60	240
c24	12231	19770	60	240
c25	26367	8496	60	240
c26	32107	12984	60	240
c27	28980	13441	60	240
c28	22217	10035	60	240
c29	19771	25540	60	240
c30	30920	8982	60	240
c31	30299	18525	60	240
c32	30470	11760	60	240
c33	21573	10331	60	240
c34	22908	15741	60	240
c35	30993	16415	60	240
c36	12965	19486	60	240
c37	30818	21270	60	240
c38	25374	7538	60	240
c39	22646	9559	60	240
c40	27855	10271	60	240
c41	22864	9835	60	240
c42	25691	7695	60	240
c43	25417	20913	60	240
c44	21625	19004	60	240
c45	24121	21684	60	240
c46	20997	21961	60	240
c47	24414	10144	60	240
c48	28201	20202	60	240
c49	23943	21405	60	240
c50	27903	14907	60	240
c51	27958	11360	60	240
c52	23431	21910	60	240
c53	27090	7913	60	240
c54	12638	31953	60	240
c55	22702	20082	60	120
c56	29261	21465	60	286
c57	30552	11832	105	240
c58	30031	10289	105	240
c59	24312	16566	120	360
c60	33681	9450	120	360
c61	21767	7637	120	360
c62	27214	19150	120	360
c63	30798	17195	120	360
c64	32420	9935	120	360
c65	30586	12858	120	360
c66	29037	21758	120	360
c67	27467	9386	120	240
c68	24319	9174	120	216
c69	23385	8145	120	312
c70	23107	12600	135	180
c71	23054	13573	150	285
c72	30132	13768	150	187
c73	24807	12820	180	420
c74	22423	15738	180	420
c75	31076	16348	180	420
c76	27332	17911	180	420
c77	33361	11147	180	344
c78	29549	18061	180	298
c79	33623	12492	210	285
c80	21983	19171	225	420
c81	21374	14281	240	480
c82	25673	21585	240	480
c83	31077	20863	240	480
c84	24360	14872	240	480
c85	22189	7712	240	480
c86	25519	17607	240	480
c87	23160	7070	240	480
c88	29361	11168	240	480
c89	24553	18464	240	480
c90	22312	8884	240	480
c91	21644	16289	240	480
c92	28980	9052	240	420
c93	27937	7013	240	420
c94	17109	31593	240	420
c95	31396	6103	240	420
c96	24285	18926	240	420
c97	13566	27334	240	420
c98	31627	7577	240	420
c99	28834	20216	240	420
c100	25797	11433	240	420
c101	26927	10137	240	420
c102	29268	16034	240	360
c103	33200	10321	240	390
c104	23231	13430	300	420
c105	26603	12102	300	390
c106	21478	19061	360	600
c107	28715	11804	360	600
c108	30190	10529	360	600
c109	24549	7599	360	600
c110	25397	9519	360	600
c111	29141	8759	360	600
c112	22269	7419	360	600
c113	27714	14453	360	600
c114	26244	20363	360	600
c115	31113	19159	360	600
c116	29858	14284	360	600
c117	21767	15118	360	600
c118	31081	9689	360	600
c119	22591	14563	360	600
c120	28400	11554	360	600
c121	24674	18172	360	600
c122	21294	18275	360	600
c123	24901	15089	360	600
c124	31593	15017	360	600
c125	22501	9924	360	600
c126	28431	20104	360	615
c127	6037	19749	420	660
c128	28060	10805	420	660
c129	24614	20976	420	660
c130	27431	6709	420	660
c131	25570	12183	420	660
c132	28641	9059	420	660
c133	31477	16316	420	660
c134	27520	13360	420	660
c135	29442	395	420	660
c136	26440	7275	420	660
c137	26251	11161	420	660
c138	27825	9289	420	660
c139	22509	12372	420	660
c140	7820	25372	420	660
c141	27600	13114	420	660
c142	23615	11025	420	660
c143	27718	5545	420	660
c144	22449	20648	420	660
c145	10165	22024	420	660
c146	5840	31638	420	660
c147	30749	16643	420	660
c148	27062	10554	420	660
c149	11339	30254	420	660
c150	27651	14166	420	660
c151	29621	19100	420	660
c152	25403	19895	420	660
c153	29218	18504	420	660
c154	23956	6624	420	660
c155	22039	20205	420	660
c156	32490	14348	420	660
c157	27328	19079	420	490
c158	22328	18764	420	504
c159	26541	11347	450	690
c160	24805	10435	450	690
c161	25934	22406	450	690
c162	29622	19830	450	690
c163	21588	16435	450	690
c164	32234	11295	450	690
c165	21087	11652	450	690
c166	28460	8872	450	679
c167	23836	14744	480	720
c168	24883	18790	480	720
c169	29725	21905	480	720
c170	27801	9310	480	720
c171	28138	20607	480	720
c172	22144	9556	480	720
c173	29841	15887	480	720
c174	24996	9791	480	720
c175	23839	21533	480	720
c176	22585	22507	480	720
c177	31290	8674	480	720
c178	22554	11614	480	720
c179	25625	17955	480	675
c180	32657	15164	480	536
c181	28403	10057	480	564
c182	24468	9152	495	637
c183	32232	14062	505	560
c184	29190	12969	510	750
c185	30999	8996	510	750
c186	21890	13420	510	750
c187	21330	16321	510	750
c188	24743	15002	510	735
c189	32068	8768	525	592
c190	29174	15201	540	780
c191	26808	9926	540	780
c192	24210	18628	540	780
c193	28989	21493	540	780
c194	22662	19429	540	780
c195	29042	18002	540	780
c196	29338	13718	540	780
c197	26369	10560	540	780
c198	28799	10613	540	720
c199	21238	20571	540	547
c200	29856	19557	630	720
c201	23546	10627	645	727
c202	31971	12120	660	810
c203	21301	15023	660	810
c204	24205	1061	660	810
c205	21233	0	660	810
c206	25336	15421	660	810
c207	21741	2483	660	810
c208	30520	20928	660	810
c209	24878	13169	660	810
c210	19030	22820	660	810
c211	25277	19871	660	810
c212	22243	6928	660	810
c213	15887	29392	660	810
c214	26435	3857	660	810
c215	27864	4541	660	810
c216	32073	6916	660	810
c217	27224	8280	660	810
c218	33088	12349	660	810
c219	30111	14490	660	667
c220	27205	10906	690	810
c221	21523	17903	720	825
