restaurant	x	y
r1	9807	10357
r2	9572	10676
r3	9503	10707
r4	8447	9539
r5	8665	6057
r6	8684	7183
r7	5132	8726
r8	8630	8874
r9	9443	5625
r10	4272	8858
r11	8279	6821
r12	9976	7492
r13	8778	8946
r14	8506	5508
r15	9967	8939
r16	7383	8915
r17	8519	6727
r18	10173	6930
r19	9861	10372
r20	4391	4151
r21	9220	10767
r22	6747	10783
r23	9036	6926
r24	1970	8111
r25	8834	6954
r26	9104	9409
r27	8380	6763
r28	10015	9720
r29	9170	6545
r30	2717	8850
r31	8473	6896
r32	9003	8109
r33	4821	8204
r34	7098	10552
r35	9716	10663
r36	8884	8673
r37	9849	10232
r38	8921	7614
r39	7835	10539
r40	8399	4533
r41	8670	8935
r42	7493	10437
r43	6262	7529
r44	8895	7783
r45	10784	8531
r46	947	5471
r47	4988	8683
r48	9884	10658
r49	4501	6617
r50	8264	6834
r51	9032	9146
r52	8416	5886
r53	6214	7382
r54	7707	9165
r55	6995	10687
r56	4831	8964
r57	3599	8585
r58	7402	8836
r59	4527	7023
r60	9801	8907
r61	7877	6606
r62	5389	8631
r63	8724	9391
r64	8887	9178
r65	6173	10488
r66	8709	9292
r67	5147	2377
r68	9460	9291
r69	7383	6395
r70	9119	11632
r71	8529	9604
r72	7230	6208
r73	9132	5573
r74	9390	5950
r75	8442	9571
r76	9607	10172
r77	9544	10515
r78	4785	6745
r79	8509	4649
r80	5829	9374
r81	9216	9051
r82	6111	7474
r83	8405	11541
r84	2750	8513
r85	8460	7060
r86	8492	9194
r87	9552	9775
r88	8447	9588
r89	4616	8853
r90	4812	8594
r91	10676	9251
r92	7430	9219
r93	4524	6860
r94	8390	6620
r95	7581	7788
r96	8353	6802
r97	8385	10279
r98	7379	6341
r99	8366	7794
r100	7526	9111
r101	4337	8859
r102	9648	8948
r103	7292	5463
r104	7056	6458
r105	9884	10121
r106	3552	8591
r107	8545	11436
r108	8423	9251
r109	8494	9461
r110	7282	6586
r111	8705	6286
r112	6791	10793
r113	7686	7621
r114	4529	9203
r115	8717	5327
r116	9524	10144
r117	605	7987
r118	10028	8404
r119	9307	10826
r120	8498	5914
r121	8735	11624
r122	4808	8935
r123	11520	4364
r124	4145	6811
r125	9261	7557
r126	9113	8928
r127	9438	11393
r128	9975	9057
r129	9687	8182
r130	9815	10600
r131	6715	10695
r132	9013	6545
r133	10110	7509
r134	8698	9216
r135	6244	7432
r136	9566	10027
r137	3381	8560
r138	9568	9125
r139	3251	6658
r140	10622	6638
r141	4404	6772
r142	9990	7473
r143	9891	8755
r144	7448	6819
r145	3013	8593
r146	8425	10010
r147	9613	10731
r148	3460	5656
r149	4387	6709
r150	8530	6305
r151	9841	8907
r152	9674	10537
r153	6569	10673
r154	10432	9286
r155	8120	6844
r156	3529	8862
r157	9248	7377
r158	5804	7328
r159	6228	9270
r160	9973	2899
r161	8603	9663
r162	6634	10651
r163	8498	6096
r164	10449	10342
r165	9146	8304
r166	8683	6446
r167	8550	4631
r168	3458	6631
