restaurant	x	y
r1	7850	9130
r2	6392	10124
r3	7955	8778
r4	10853	3740
r5	2006	8205
r6	9436	6342
r7	8638	10412
r8	3439	6176
r9	8026	8400
r10	5580	6907
r11	7802	6517
r12	6759	8322
r13	7659	6385
r14	7839	6355
r15	8093	8410
r16	8908	10167
r17	5861	10172
r18	9076	10093
r19	7615	6423
r20	7832	8170
r21	7725	5325
r22	6361	10273
r23	4870	8160
r24	9343	7103
r25	3770	6431
r26	8462	4911
r27	7909	8584
r28	7831	4944
r29	8198	7094
r30	8477	6146
r31	5098	8652
r32	5620	7009
r33	9370	6911
r34	9599	8912
r35	6019	10246
r36	8891	10025
r37	6571	5766
r38	8474	8722
r39	8847	10020
r40	5649	6995
r41	7725	5552
r42	8344	6458
r43	9263	2463
r44	8120	8672
r45	9280	9327
r46	9259	8372
r47	8677	10202
r48	8117	4804
r49	8974	7713
r50	7694	6070
r51	8906	9487
r52	9329	9419
r53	8130	8162
r54	7750	7483
r55	8562	8495
r56	9178	9530
r57	8048	7233
r58	8175	6416
r59	4028	8630
r60	8621	6942
r61	4166	7653
r62	2800	5157
r63	7790	4105
r64	6808	5911
r65	7016	10100
r66	6214	10203
r67	6954	7247
r68	4030	6356
r69	3574	6280
r70	9277	9768
r71	7688	9875
r72	7685	6233
r73	9035	8370
r74	7845	4138
r75	8802	5325
r76	6955	9927
r77	5533	8720
r78	6745	8561
r79	9182	8388
r80	9260	9781
r81	7675	5924
r82	3848	3596
r83	7785	6220
r84	9053	9821
r85	8548	5070
r86	5499	6844
r87	6969	8607
r88	3904	6137
r89	7177	9949
r90	1219	7462
