restaurant	x	y
r1	7928	6589
r2	6726	2777
r3	9611	4399
r4	3921	4348
r5	0	5326
r6	8523	6542
r7	4135	6415
r8	9190	8037
r9	7954	4363
r10	2185	6069
r11	7865	4229
r12	10053	6678
r13	9068	5645
r14	3784	1500
r15	8172	6147
r16	10264	6114
r17	7867	4354
r18	4155	4106
r19	7958	6021
r20	4030	4045
r21	4214	6298
r22	4071	5601
r23	8526	4370
r24	7866	2961
r25	6815	3873
r26	10919	1659
r27	8633	2965
r28	9250	7739
r29	8989	3063
r30	4273	5536
r31	4178	6251
r32	8624	4887
r33	5239	6584
r34	9412	7429
r35	8282	6182
r36	7038	5053
r37	8976	3222
r38	9474	6157
r39	7908	2064
r40	2235	6058
r41	7169	4004
r42	6454	8124
r43	4378	5985
r44	7923	7027
r45	6693	3948
r46	6819	4020
r47	7570	4296
r48	4484	6135
r49	7668	7764
r50	6113	6834
r51	7727	4032
r52	6857	6584
r53	7983	6621
r54	9030	8017
