courier	x	y	on_time	off_time
c1	34584	3455	69	309
c2	29029	12486	69	309
c3	23737	3847	69	309
c4	25833	18462	69	249
c5	23990	20548	69	249
c6	22384	22096	69	249
c7	20810	7160	69	249
c8	23849	8722	69	249
c9	28771	14727	69	249
c10	21491	18495	69	249
c11	26802	16411	69	249
c12	21736	12818	69	249
c13	26157	20642	69	249
c14	25601	10953	69	249
c15	31710	14179	69	249
c16	22630	15967	69	249
c17	26618	19089	69	249
c18	23012	21753	69	249
c19	20865	8486	69	249
c20	31730	10666	69	249
c21	28700	9289	69	249
c22	22359	22759	69	189
c23	25580	2784	69	149
c24	24575	10836	99	294
c25	26149	20420	129	369
c26	20862	9860	129	369
c27	18732	25705	129	309
c28	27479	23025	129	309
c29	28594	13141	129	309
c30	26756	19621	129	309
c31	27354	20484	129	309
c32	22820	10763	129	309
c33	25310	7641	129	309
c34	20819	19302	129	309
c35	24316	8749	129	309
c36	31470	9869	129	309
c37	22098	10172	129	309
c38	19202	29171	129	309
c39	27296	11054	129	309
c40	16830	33094	129	309
c41	9388	18907	129	309
c42	32455	13457	129	309
c43	20735	23072	129	309
c44	28119	17444	129	309
c45	29793	13484	129	309
c46	31232	16449	129	309
c47	29682	13802	129	309
c48	6671	31945	129	309
c49	24486	10345	129	309
c50	30707	20177	129	309
c51	22557	8350	129	309
c52	24749	20494	129	309
c53	27041	11444	129	309
c54	8805	26753	129	309
c55	30148	21607	129	309
c56	23202	17323	129	309
c57	30688	9904	129	309
c58	28226	19306	129	309
c59	8670	23467	129	309
c60	29088	10251	129	309
c61	31707	13846	129	309
c62	21128	18654	129	279
c63	28270	10531	129	257
c64	24142	16219	129	327
c65	20678	7283	159	234
c66	30330	1798	189	249
c67	32009	15387	219	309
c68	20634	18606	309	489
c69	23997	11932	309	489
c70	15953	20936	309	489
c71	25657	21700	309	489
c72	12053	32372	309	489
c73	21270	14653	309	489
c74	20569	15643	309	489
c75	29382	11417	309	489
c76	23735	21197	309	489
c77	29756	17245	309	489
c78	23949	21466	309	489
c79	28291	15552	309	489
c80	22391	11959	309	489
c81	23828	7374	309	489
c82	23599	12820	309	489
c83	23763	14847	309	489
c84	27938	23456	309	489
c85	27249	10962	309	489
c86	23574	22626	309	489
c87	23933	22163	309	489
c88	25323	8896	309	489
c89	15209	26557	309	489
c90	28757	17022	309	489
c91	27822	12536	309	489
c92	27749	14086	309	489
c93	28132	8586	309	489
c94	27079	23345	309	489
c95	29006	16617	309	489
c96	26208	11917	309	489
c97	22820	16546	309	489
c98	23540	9515	309	489
c99	25902	5114	309	489
c100	21372	22531	309	489
c101	6283	29194	309	379
c102	24141	12714	309	339
c103	27773	587	309	429
c104	21008	16461	369	489
c105	24723	19763	369	459
c106	30855	17594	459	699
c107	27325	19227	459	699
c108	23603	16106	459	699
c109	22780	23239	459	699
c110	22426	16346	459	699
c111	21117	17097	459	699
